sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,vout_max_v,vout_min_v,vin_max_v,vin_min_v,indrv_max_v,indrv_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
baseline,,unset (plain harness deck),ok,6.530482e-09,6.533684e-09,5.416239e-09,5.421978e-09,1.0103663602,0.88162246828,6.0052108789,-0.003294779798,3.3,0.0,6.0026538123,-0.0008636640851,6.1066381119,-0.0527545365,6.0833576084,-0.04643737134,6.0604580041,-0.03384947898,6.0567151733,-0.0327494572,6.0570613051,-0.03260082835
0,20340204,0,ok,6.530482e-09,6.533684e-09,5.416239e-09,5.421978e-09,1.0103663602,0.88162246828,6.0052108789,-0.003294779798,3.3,0.0,6.0026538123,-0.0008636640851,6.1066381119,-0.0527545365,6.0833576084,-0.04643737134,6.0604580041,-0.03384947898,6.0567151733,-0.0327494572,6.0570613051,-0.03260082835
0,25340204,0,ok,6.530482e-09,6.533684e-09,5.416239e-09,5.421978e-09,1.0103663602,0.88162246828,6.0052108789,-0.003294779798,3.3,0.0,6.0026538123,-0.0008636640851,6.1066381119,-0.0527545365,6.0833576084,-0.04643737134,6.0604580041,-0.03384947898,6.0567151733,-0.0327494572,6.0570613051,-0.03260082835
1,20340205,1,ok,6.533698e-09,6.541524e-09,5.417965e-09,5.428721e-09,1.012452617,0.88144520282,6.0052157364,-0.003284313159,3.3,0.0,6.0019019099,-0.001035029081,6.1062967798,-0.05269047751,6.0838730964,-0.04659987345,6.0602737965,-0.0338184936,6.0568041555,-0.03249264278,6.0572958783,-0.03291549865
2,20340206,1,ok,6.537166e-09,6.517996e-09,5.423065e-09,5.407136e-09,1.0090779866,0.87764262034,6.0052153096,-0.003307692233,3.3,0.0,6.0025662826,-0.0008376126245,6.1058045235,-0.05209099773,6.0834184857,-0.04637852742,6.0604858816,-0.03395352719,6.0566794689,-0.03297186586,6.0569786708,-0.03240276926
3,20340207,1,ok,6.519784e-09,6.534581e-09,5.405085e-09,5.428122e-09,1.0150723218,0.88221311804,6.005192708,-0.003269813091,3.3,0.0,6.0018358969,-0.001221434149,6.1111634225,-0.05323887778,6.0831964148,-0.04630701093,6.0605083077,-0.03381041797,6.056749665,-0.0329404201,6.0576852341,-0.03249413955
4,20340208,1,ok,6.556288e-09,6.528459e-09,5.43357e-09,5.419634e-09,1.0059395953,0.88235920823,6.0051859831,-0.003327892195,3.3,0.0,6.0025965669,-0.001001017054,6.1074768039,-0.05270011956,6.0840602982,-0.04652841019,6.0604703488,-0.03385243752,6.0569607509,-0.03262337011,6.0568801911,-0.03261996543
5,20340209,1,ok,6.520341e-09,6.544275e-09,5.409629e-09,5.430697e-09,1.0146096485,0.88077273531,6.0052213885,-0.003288125344,3.3,0.0,6.0020099083,-0.0009959431862,6.1077976373,-0.0529978447,6.0835173389,-0.04647119486,6.0603154527,-0.03373011845,6.0567036719,-0.03271281997,6.0573575484,-0.03279087065
6,20340210,1,ok,6.530876e-09,6.546496e-09,5.41591e-09,5.429233e-09,1.0103913965,0.88033686366,6.0052321311,-0.00328873085,3.3,0.0,6.0026590375,-0.001112061391,6.1068428533,-0.05302286516,6.0829730395,-0.04613192529,6.0606373586,-0.03383107781,6.056349413,-0.03272615727,6.0572203742,-0.03239005212
7,20340211,1,ok,6.520026e-09,6.52298e-09,5.409498e-09,5.417772e-09,1.0118109924,0.88343338372,6.005184332,-0.003290968395,3.3,0.0,6.0026500004,-0.001146330192,6.1067408669,-0.05318353024,6.0822834784,-0.04629984042,6.0605032203,-0.03380793795,6.0566072334,-0.03298727946,6.0571327621,-0.03274730775
8,20340212,1,ok,6.563711e-09,6.527931e-09,5.440267e-09,5.419995e-09,1.0077020937,0.88222735921,6.0051918899,-0.00331003364,3.3,0.0,6.0012418133,-0.0008170442077,6.1069152941,-0.05317646482,6.0832680082,-0.04595765072,6.0598636944,-0.03368095613,6.0564212265,-0.03278469917,6.0572414479,-0.0326553284
9,20340213,1,ok,6.539203e-09,6.544078e-09,5.420545e-09,5.427123e-09,1.0092433993,0.87934394981,6.0052360026,-0.003293402078,3.3,0.0,6.0026353835,-0.0009615259695,6.1069288485,-0.05260941959,6.0838482055,-0.04636343159,6.0607301494,-0.0341285051,6.0558936741,-0.03268674907,6.0567886091,-0.03245682785
10,20340214,1,ok,6.525295e-09,6.531226e-09,5.412563e-09,5.418751e-09,1.0110628363,0.88242954506,6.0052045623,-0.003287210436,3.3,0.0,6.0026518263,-0.001052577364,6.1081949396,-0.05273183723,6.0834591791,-0.04637607199,6.0602459107,-0.03373502135,6.0563944058,-0.03268740953,6.0571813531,-0.03275648235
11,20340215,1,ok,6.542695e-09,6.518178e-09,5.420134e-09,5.415086e-09,1.0081842814,0.88321512103,6.005179445,-0.003310827786,3.3,0.0,6.0026535456,-0.0008615930618,6.1071335858,-0.05322179277,6.083687472,-0.04658066678,6.060489904,-0.03393161018,6.0563763442,-0.03277464461,6.0567829868,-0.0324928237
12,20340216,1,ok,6.523764e-09,6.523632e-09,5.411237e-09,5.416277e-09,1.0138100591,0.88274117997,6.0051815854,-0.003294521526,3.3,0.0,6.0019756577,-0.0008133787909,6.1060580509,-0.05261852871,6.0837363326,-0.04606945286,6.0598114203,-0.03370097597,6.0564700389,-0.03266547533,6.0568774242,-0.03262855208
13,20340217,1,ok,6.540971e-09,6.5197e-09,5.418009e-09,5.414298e-09,1.008883571,0.88355110278,6.0051901611,-0.003292145631,3.3,0.0,6.0026320897,-0.00109642314,6.1068382843,-0.05305305176,6.0836754519,-0.04644910343,6.0605005287,-0.03353755586,6.057018897,-0.03294828586,6.0571228164,-0.03262901806
14,20340218,1,ok,6.52892e-09,6.514382e-09,5.415319e-09,5.409895e-09,1.0132829672,0.8839819831,6.0051881955,-0.003281586899,3.3,0.0,6.0019945525,-0.0008688071189,6.1071451442,-0.05277221349,6.0831122432,-0.04616924546,6.0602166166,-0.0336052273,6.0563536063,-0.03284823353,6.0570236939,-0.03273047702
15,20340219,1,ok,6.52505e-09,6.540932e-09,5.413679e-09,5.426984e-09,1.0140902492,0.88165923892,6.0052067464,-0.003279108319,3.3,0.0,6.0024161025,-0.0008391282327,6.110981319,-0.05239549722,6.0836014468,-0.04633937693,6.0606371316,-0.03383451016,6.0570715327,-0.03275478805,6.0567555723,-0.03250160466
16,20340220,1,ok,6.535465e-09,6.538336e-09,5.413444e-09,5.426398e-09,1.0127438981,0.88061575794,6.0052218177,-0.003271211597,3.3,0.0,6.0017280219,-0.0009488711559,6.1069175714,-0.0525557886,6.0833782184,-0.04639589832,6.0605069956,-0.03387758724,6.0571399673,-0.03276772989,6.0568492909,-0.0325189872
17,20340221,1,ok,6.5398e-09,6.54562e-09,5.417652e-09,5.426935e-09,1.0122590177,0.88044558165,6.0052170102,-0.003276884998,3.3,0.0,6.0015876857,-0.001041074276,6.1074405918,-0.05304696254,6.0835447928,-0.04615402311,6.0602964473,-0.03385079408,6.0568051668,-0.03275652911,6.0569328638,-0.03296088701
