sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,vout_max_v,vout_min_v,vin_max_v,vin_min_v,indrv_max_v,indrv_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
baseline,,unset (plain harness deck),ok,4.557395e-09,4.867861e-09,3.641477e-09,3.798261e-09,1.4802559161,1.2147375088,6.0034158493,-0.00202816329,3.3,0.0,6.0001970079,-0.000392512865,6.0702611185,-0.03325576083,6.0667859917,-0.03753619959,6.0402613295,-0.02485059986,6.0363873813,-0.02309899424,6.0361285457,-0.02224065348
0,20310204,0,ok,4.557395e-09,4.867861e-09,3.641477e-09,3.798261e-09,1.4802559161,1.2147375088,6.0034158493,-0.00202816329,3.3,0.0,6.0001970079,-0.000392512865,6.0702611185,-0.03325576083,6.0667859917,-0.03753619959,6.0402613295,-0.02485059986,6.0363873813,-0.02309899424,6.0361285457,-0.02224065348
0,25310204,0,ok,4.557395e-09,4.867861e-09,3.641477e-09,3.798261e-09,1.4802559161,1.2147375088,6.0034158493,-0.00202816329,3.3,0.0,6.0001970079,-0.000392512865,6.0702611185,-0.03325576083,6.0667859917,-0.03753619959,6.0402613295,-0.02485059986,6.0363873813,-0.02309899424,6.0361285457,-0.02224065348
1,20310205,1,ok,4.564484e-09,4.860315e-09,3.64847e-09,3.794747e-09,1.4772499494,1.2155430872,6.0033448583,-0.002043900879,3.3,0.0,6.0001633339,-0.0003962932751,6.0756758394,-0.03356156016,6.0668952548,-0.0373442988,6.0398819326,-0.02493092785,6.0363349162,-0.02300589107,6.0361725856,-0.02257332548
2,20310206,1,ok,4.571227e-09,4.860564e-09,3.647072e-09,3.795924e-09,1.4758401728,1.2158235818,6.0033288227,-0.002034033145,3.3,0.0,6.0001968602,-0.0003915088925,6.0756095478,-0.03336466723,6.0657841222,-0.03752993227,6.0402021487,-0.02481614498,6.0362148383,-0.0230775113,6.036181178,-0.02245938114
3,20310207,1,ok,4.546913e-09,4.859114e-09,3.638419e-09,3.794718e-09,1.4835877857,1.2147162807,6.0033745345,-0.002024411937,3.3,0.0,6.0001855171,-0.000395572871,6.0735001763,-0.03391877915,6.0668888422,-0.03776905788,6.0407276028,-0.02481934136,6.0358305953,-0.02312016077,6.0359775575,-0.02160936571
4,20310208,1,ok,4.55037e-09,4.860827e-09,3.639935e-09,3.79439e-09,1.4823850405,1.2146367323,6.0033402494,-0.002020854788,3.3,0.0,6.0002173123,-0.0003921296168,6.0748631913,-0.03291065756,6.0659654682,-0.03749948294,6.0409673373,-0.0248175111,6.036373176,-0.02307947877,6.0362053073,-0.02246824992
5,20310209,1,ok,4.553926e-09,4.872129e-09,3.635603e-09,3.801655e-09,1.4821258977,1.2104379634,6.0034224647,-0.002012967468,3.3,0.0,6.0001571686,-0.0003947839227,6.0749003486,-0.03337702619,6.0660840797,-0.03752069259,6.0403213005,-0.0249151737,6.0364316926,-0.02308385426,6.0361089718,-0.02198044647
6,20310210,1,ok,4.554652e-09,4.870533e-09,3.641637e-09,3.800057e-09,1.4812746667,1.2143528145,6.0034102049,-0.002026140137,3.3,0.0,6.0002171314,-0.0003923891521,6.0735893205,-0.03292271297,6.0671432286,-0.03768136192,6.0407301829,-0.02493466663,6.0370059909,-0.02327280462,6.0358231778,-0.02207639079
7,20310211,1,ok,4.555674e-09,4.871835e-09,3.644029e-09,3.800837e-09,1.4804309879,1.2133381137,6.003366112,-0.002041440386,3.3,0.0,6.0002397697,-0.0003948893519,6.0750216589,-0.03331810779,6.0664135281,-0.03764939917,6.0412312551,-0.02490076574,6.0362881655,-0.02322325135,6.0360503682,-0.02229531729
