sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,vout_max_v,vout_min_v,vin_max_v,vin_min_v,indrv_max_v,indrv_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
8,20350212,1,ok,4.204562e-09,3.452755e-09,3.42316e-09,3.130255e-09,1.4504693935,1.5524911798,6.0044017177,-0.003373844134,3.3,0.0,6.0000850814,-0.002579857243,6.0990936872,-0.04752671327,6.070123217,-0.04489872228,6.0524900419,-0.02991077,6.0489667318,-0.02941620778,6.0488078706,-0.02928144066
9,20350213,1,ok,4.181717e-09,3.46143e-09,3.407441e-09,3.138801e-09,1.4583110934,1.5547360362,6.0044712331,-0.003333061476,3.3,0.0,6.0000889494,-0.002624222469,6.1006131762,-0.04818415678,6.0694708532,-0.04474580344,6.0530470947,-0.02983956025,6.0488122149,-0.0293921344,6.0496809416,-0.02930823936
10,20350214,1,ok,4.187958e-09,3.460436e-09,3.41029e-09,3.139641e-09,1.4593907435,1.5549238701,6.0044481176,-0.003348403925,3.3,0.0,6.0000885751,-0.002752128775,6.1005558491,-0.04831173593,6.0693949448,-0.04469076603,6.0532180708,-0.02976675231,6.0488514711,-0.02940586834,6.0496716017,-0.02923711902
11,20350215,1,ok,4.201964e-09,3.458223e-09,3.42241e-09,3.133867e-09,1.4512896709,1.5569222893,6.0045234944,-0.003363609118,3.3,0.0,6.0000886347,-0.002675351392,6.099404579,-0.04833619711,6.0693308449,-0.04477363187,6.0525685595,-0.02980454651,6.0496814252,-0.02934984806,6.0488698257,-0.02883075521
12,20350216,1,ok,4.20138e-09,3.457438e-09,3.421246e-09,3.135951e-09,1.4510079608,1.5548658417,6.0045244009,-0.00336321269,3.3,0.0,6.0000885583,-0.002731540339,6.0976691066,-0.04762388707,6.0697924154,-0.04498193004,6.0527794657,-0.02986621054,6.04923603,-0.02926518363,6.0493497825,-0.02938048617
13,20350217,1,ok,4.200235e-09,3.458531e-09,3.418662e-09,3.134162e-09,1.4549914225,1.5563161714,6.0045267653,-0.003354409539,3.3,0.0,6.0000881272,-0.002808509445,6.100955989,-0.04788774087,6.0692822828,-0.04477957969,6.0530358341,-0.0296404411,6.0493700225,-0.02958822018,6.0493391168,-0.02902025912
14,20350218,1,ok,4.188173e-09,3.460807e-09,3.415562e-09,3.133794e-09,1.4574068633,1.5568757708,6.0045371315,-0.003314876668,3.3,0.0,6.000093769,-0.0026633311,6.0986032833,-0.04786899146,6.0690193502,-0.0447482176,6.0525636443,-0.029894945,6.0493856547,-0.02919354516,6.0488602137,-0.02918319855
15,20350219,1,ok,4.195102e-09,3.450453e-09,3.417841e-09,3.127777e-09,1.4535467321,1.561206698,6.0044908049,-0.003361314548,3.3,0.0,6.0000876438,-0.002845974821,6.0989373323,-0.04804156434,6.0697220929,-0.04482284609,6.0522738168,-0.02973999847,6.0493829833,-0.02913119552,6.0490116275,-0.02893737129
16,20350220,1,ok,4.200424e-09,3.455832e-09,3.422341e-09,3.13355e-09,1.4518619888,1.5545961762,6.0044846214,-0.003368149422,3.3,0.0,6.0000941236,-0.002686164448,6.0994171033,-0.04728707725,6.069485946,-0.04469180267,6.0527301926,-0.02990053401,6.0490993025,-0.02923927722,6.0493776402,-0.02930719262
17,20350221,1,ok,4.211097e-09,3.457164e-09,3.430838e-09,3.130639e-09,1.4501120374,1.5624135874,6.004507046,-0.003370445261,3.3,0.0,6.0000868928,-0.002827347325,6.0990439146,-0.04892667176,6.069586274,-0.04482264138,6.053134066,-0.02970594367,6.0484365013,-0.02918621841,6.0496601726,-0.02920310858
18,20350222,1,ok,4.196662e-09,3.457917e-09,3.41736e-09,3.134538e-09,1.4558244048,1.5570127671,6.004520302,-0.003350086463,3.3,0.0,6.0000881182,-0.002895842442,6.0975701448,-0.04788330882,6.0702206792,-0.0446338826,6.0531486992,-0.02984785222,6.049454395,-0.02900508225,6.0494197284,-0.02910242267
19,20350223,1,ok,4.197751e-09,3.450964e-09,3.417082e-09,3.132292e-09,1.4540318541,1.5607576507,6.0044364278,-0.003378744006,3.3,0.0,6.0000893329,-0.002743239292,6.0971499924,-0.04772842475,6.0692169476,-0.04475654414,6.0532870146,-0.02979711451,6.0486415196,-0.02914422194,6.0491940333,-0.02955261635
20,20350224,1,ok,4.216856e-09,3.452427e-09,3.431842e-09,3.12932e-09,1.4474690786,1.5576563723,6.0044117232,-0.003366745046,3.3,0.0,6.0000916385,-0.002650178959,6.0993905734,-0.04826308881,6.0692275801,-0.04457231744,6.0533815926,-0.02980886471,6.0491986363,-0.02949326059,6.0499259859,-0.029261008
21,20350225,1,ok,4.194347e-09,3.459331e-09,3.416477e-09,3.135882e-09,1.4540872771,1.5627013795,6.0045334863,-0.003348636887,3.3,0.0,6.0000881316,-0.002547387375,6.0980154987,-0.04794085366,6.0697272012,-0.04494710479,6.052761395,-0.02979219094,6.0495778765,-0.02927556388,6.0498673527,-0.02911583457
22,20350226,1,ok,4.220077e-09,3.450955e-09,3.433338e-09,3.129345e-09,1.4459514717,1.5585389546,6.0044940696,-0.00340304155,3.3,0.0,6.0000891433,-0.002725507108,6.0981953909,-0.04747763624,6.0696808189,-0.04482234177,6.0530955758,-0.0297299184,6.0492949133,-0.02915602485,6.0494312605,-0.02889391475
23,20350227,1,ok,4.188514e-09,3.444196e-09,3.415937e-09,3.124533e-09,1.456332987,1.562793191,6.0044515036,-0.003336395601,3.3,0.0,6.000093467,-0.002712986616,6.0995513684,-0.04840209439,6.0692619238,-0.04462219883,6.0524948019,-0.02981161807,6.0493454062,-0.02929255248,6.0491311176,-0.02896823475
24,20350228,1,ok,4.186018e-09,3.451418e-09,3.410571e-09,3.13166e-09,1.4562341809,1.5507359465,6.0044685687,-0.003347645278,3.3,0.0,6.0000907618,-0.002745771515,6.0980683795,-0.04862944216,6.0694534781,-0.04490405905,6.052843051,-0.02975486784,6.0484866233,-0.02922094452,6.0492239755,-0.02918498638
25,20350229,1,ok,4.20625e-09,3.456442e-09,3.422359e-09,3.134595e-09,1.4494309181,1.5516485489,6.0044593047,-0.003369450503,3.3,0.0,6.0000874721,-0.002652129076,6.0995293407,-0.04819886011,6.06980019,-0.04499138275,6.0532883927,-0.02963002639,6.0493949802,-0.02919837174,6.0492508898,-0.02889107688
26,20350230,1,ok,4.185837e-09,3.449756e-09,3.411636e-09,3.129518e-09,1.4569745463,1.5615999255,6.0044839698,-0.003336571316,3.3,0.0,6.0000913137,-0.00279273435,6.0972320825,-0.04740302327,6.0697430458,-0.04473456264,6.0530555292,-0.02988504741,6.0493317974,-0.02910644858,6.0494889508,-0.02911680044
27,20350231,1,ok,4.204976e-09,3.458316e-09,3.426862e-09,3.132868e-09,1.4497589551,1.5531760435,6.0044294806,-0.003365639327,3.3,0.0,6.00008703,-0.002646241275,6.0978106392,-0.04788544781,6.0694198106,-0.04467300429,6.0532098103,-0.02976968708,6.0497832617,-0.0293136029,6.0492887125,-0.02923587793
28,20350232,1,ok,4.210101e-09,3.451053e-09,3.426498e-09,3.128748e-09,1.4487421201,1.5674550796,6.0044262005,-0.003391725513,3.3,0.0,6.0000876099,-0.00257155805,6.0979834487,-0.04794587349,6.0694477073,-0.04482048132,6.0525581168,-0.02978343981,6.0486649666,-0.02926045756,6.0489751362,-0.02922746175
29,20350233,1,ok,4.202361e-09,3.448376e-09,3.423127e-09,3.127817e-09,1.4507800799,1.5599937013,6.0044465612,-0.003376741896,3.3,0.0,6.0000928729,-0.002763573795,6.098321145,-0.04753463226,6.0699918234,-0.04496343546,6.0529362514,-0.02991655943,6.0490126691,-0.02924653046,6.0490365546,-0.02912411083
30,20350234,1,ok,4.183985e-09,3.462775e-09,3.411094e-09,3.136535e-09,1.4575770892,1.5510516923,6.0045092656,-0.003345676765,3.3,0.0,6.0000877314,-0.002825477713,6.0970969337,-0.04783315516,6.0692346669,-0.04474169879,6.0530964238,-0.02987685377,6.0496359458,-0.02930834705,6.0495075656,-0.02914432998
