sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,vout_max_v,vout_min_v,vin_max_v,vin_min_v,indrv_max_v,indrv_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
baseline,,unset (plain harness deck),ok,4.487321e-09,4.475438e-09,3.704697e-09,3.765217e-09,1.4302825083,1.2393254182,6.0047535717,-0.002897940104,3.3,0.0,6.0000816159,-0.0004723372147,6.099904289,-0.04612151188,6.0771852376,-0.04268842971,6.0547972033,-0.02994742866,6.0512751588,-0.02919392113,6.050707837,-0.02874095345
0,20270204,0,ok,4.487321e-09,4.475438e-09,3.704697e-09,3.765217e-09,1.4302825083,1.2393254182,6.0047535717,-0.002897940104,3.3,0.0,6.0000816159,-0.0004723372147,6.099904289,-0.04612151188,6.0771852376,-0.04268842971,6.0547972033,-0.02994742866,6.0512751588,-0.02919392113,6.050707837,-0.02874095345
0,25270204,0,ok,4.487321e-09,4.475438e-09,3.704697e-09,3.765217e-09,1.4302825083,1.2393254182,6.0047535717,-0.002897940104,3.3,0.0,6.0000816159,-0.0004723372147,6.099904289,-0.04612151188,6.0771852376,-0.04268842971,6.0547972033,-0.02994742866,6.0512751588,-0.02919392113,6.050707837,-0.02874095345
1,20270205,1,ok,4.494263e-09,4.472973e-09,3.706959e-09,3.764979e-09,1.4274511444,1.242413345,6.0047625838,-0.00288541512,3.3,0.0,6.0000812742,-0.0004734299904,6.1002775254,-0.04587636152,6.0777621103,-0.0429051066,6.0541803493,-0.03024415599,6.0509881552,-0.0291031675,6.0514340304,-0.02881083189
2,20270206,1,ok,4.485357e-09,4.482913e-09,3.700933e-09,3.769717e-09,1.4313903073,1.2394832854,6.004702323,-0.00288770994,3.3,0.0,6.0000811411,-0.000471979195,6.1006250708,-0.04642281541,6.0771664271,-0.04270205145,6.0547296278,-0.02982748069,6.0510555564,-0.029064928,6.0506833198,-0.02882193773
3,20270207,1,ok,4.487752e-09,4.480932e-09,3.703327e-09,3.769482e-09,1.4308881926,1.2380504355,6.0047710967,-0.002889921467,3.3,0.0,6.0000810538,-0.0004729673905,6.1004771504,-0.04628147199,6.0769082616,-0.04293337247,6.0547554578,-0.02996918813,6.0510730562,-0.02917829783,6.0508922967,-0.02883946511
4,20270208,1,ok,4.477503e-09,4.473021e-09,3.69501e-09,3.768353e-09,1.4326672066,1.2431449943,6.0046488585,-0.00290532067,3.3,0.0,6.0000800682,-0.0004712591673,6.1033469285,-0.04634127772,6.07681973,-0.04265809151,6.0544395558,-0.02984649202,6.050778195,-0.02888385686,6.0507063567,-0.02886970319
5,20270209,1,ok,4.48524e-09,4.475316e-09,3.708988e-09,3.764138e-09,1.4311830454,1.2427468588,6.00467039,-0.002894801564,3.3,0.0,6.0000805706,-0.0004710934339,6.1034919988,-0.04640148958,6.0766582913,-0.04250925706,6.0547917531,-0.02987474022,6.0512908617,-0.02888450199,6.050921005,-0.02891665873
6,20270210,1,ok,4.476151e-09,4.478196e-09,3.699309e-09,3.768205e-09,1.4356178369,1.238391951,6.0047529953,-0.00287989534,3.3,0.0,6.0000817769,-0.0004723922911,6.1005826112,-0.04674313041,6.0773373452,-0.04265677917,6.0546046689,-0.03016526363,6.050398049,-0.02928450326,6.0515346872,-0.02868802733
7,20270211,1,ok,4.499601e-09,4.473786e-09,3.70956e-09,3.762583e-09,1.4279453649,1.2398655692,6.004759866,-0.002909350542,3.3,0.0,6.0000775063,-0.0004627384554,6.1028894496,-0.04642251964,6.0774109766,-0.04301953971,6.0546960494,-0.02992080902,6.0515156191,-0.0291240848,6.050906298,-0.0288459897
8,20270212,1,ok,4.47186e-09,4.475367e-09,3.697693e-09,3.762607e-09,1.4368367616,1.2407814966,6.0047625092,-0.002877942612,3.3,0.0,6.0000807993,-0.0004725729566,6.1013924356,-0.04582886391,6.0768007997,-0.04259055532,6.0546429513,-0.03019726061,6.0504065976,-0.02911644436,6.0514327773,-0.02868429108
9,20270213,1,ok,4.479963e-09,4.475576e-09,3.700369e-09,3.766615e-09,1.4324302742,1.2391256592,6.0047509102,-0.00289501678,3.3,0.0,6.0000804117,-0.0004730413508,6.1019591776,-0.04636470597,6.0769430891,-0.04274421067,6.0545254708,-0.02994394691,6.0513666601,-0.02910768594,6.0507424757,-0.02876518258
10,20270214,1,ok,4.488398e-09,4.481717e-09,3.705794e-09,3.769021e-09,1.432460366,1.2403879511,6.0047852637,-0.002879360572,3.3,0.0,6.0000825522,-0.0004725983515,6.1010666858,-0.04613331519,6.0767051417,-0.04268964634,6.0548683795,-0.02991668632,6.0515621745,-0.02911419235,6.0509443637,-0.02852181107
11,20270215,1,ok,4.494976e-09,4.46855e-09,3.707588e-09,3.762264e-09,1.4269848632,1.2410614844,6.0047344357,-0.002900300385,3.3,0.0,6.0000843739,-0.0004717004913,6.1038017631,-0.04643322667,6.0772047132,-0.04254275771,6.0544823699,-0.03023289957,6.0507671554,-0.02923351892,6.0513474258,-0.02872419949
12,20270216,1,ok,4.501303e-09,4.48236e-09,3.712647e-09,3.766004e-09,1.4274881315,1.2363278476,6.0047886246,-0.002912999057,3.3,0.0,6.0000813213,-0.0004731924065,6.1021947594,-0.04620853604,6.0769311772,-0.04282126415,6.054687433,-0.02994407784,6.0509297732,-0.0290960509,6.0509521567,-0.02871817457
13,20270217,1,ok,4.471976e-09,4.470435e-09,3.697627e-09,3.761598e-09,1.4363013897,1.2414747634,6.004741642,-0.002867868676,3.3,0.0,6.0000812249,-0.0004862721502,6.1013012982,-0.04598840681,6.0772105317,-0.04297310284,6.0545056971,-0.02984768156,6.0513948042,-0.02925408406,6.0509120202,-0.02878612677
14,20270218,1,ok,4.491468e-09,4.483663e-09,3.706776e-09,3.771067e-09,1.4309360077,1.2381314713,6.0047867437,-0.002896000497,3.3,0.0,6.0000762517,-0.0004730062243,6.1055683034,-0.04619451687,6.0775825571,-0.04309794476,6.0545258169,-0.02996861708,6.0515180298,-0.02921743378,6.0515105298,-0.02874613775
15,20270219,1,ok,4.501469e-09,4.477571e-09,3.713791e-09,3.766848e-09,1.4275351891,1.2401649655,6.0047702728,-0.002908926397,3.3,0.0,6.0000787368,-0.0004722524362,6.1037771372,-0.04630834244,6.0769324773,-0.04262212471,6.0546955734,-0.03021466464,6.0514438028,-0.02917700639,6.0511433039,-0.02881942635
16,20270220,1,ok,4.485539e-09,4.475571e-09,3.698093e-09,3.767946e-09,1.4319402558,1.2344000611,6.0047425859,-0.002899928048,3.3,0.0,6.0000781363,-0.0004729841651,6.1037462408,-0.04629490887,6.0776697717,-0.04278469827,6.0545838992,-0.02980470693,6.0516546967,-0.02943510819,6.0509983475,-0.02894659724
17,20270221,1,ok,4.494458e-09,4.486224e-09,3.710637e-09,3.772552e-09,1.429426075,1.2392692049,6.0046875205,-0.002910919398,3.3,0.0,6.0000810978,-0.0004725775731,6.1015154256,-0.0463395136,6.077296754,-0.04290912974,6.05465177,-0.02981472175,6.0516213756,-0.02914206826,6.051581172,-0.02928046453
18,20270222,1,ok,4.480988e-09,4.47356e-09,3.702973e-09,3.76259e-09,1.4316868899,1.2428417368,6.0046897026,-0.002879867996,3.3,0.0,6.0000787991,-0.0004375070206,6.1041553166,-0.0458348999,6.0769330324,-0.04259660428,6.0547388248,-0.02996884527,6.0513661661,-0.02931859437,6.0514508825,-0.02911210927
19,20270223,1,ok,4.486789e-09,4.463434e-09,3.705355e-09,3.758566e-09,1.4319124952,1.2439609937,6.0046117037,-0.002900559727,3.3,0.0,6.00008485,-0.0004718209283,6.1019397129,-0.04655975342,6.0766866616,-0.04252923177,6.0545706427,-0.02979585454,6.051028864,-0.02903119486,6.0513642937,-0.02910724121
20,20270224,1,ok,4.492065e-09,4.474036e-09,3.70599e-09,3.76491e-09,1.4243460189,1.2401807715,6.0046476556,-0.002893991952,3.3,0.0,6.0000818359,-0.0004728074502,6.1029239953,-0.04628518899,6.0772270566,-0.04280238285,6.0548092422,-0.02988490934,6.0517172982,-0.0295376033,6.0505116225,-0.02872653793
21,20270225,1,ok,4.4849e-09,4.475398e-09,3.701593e-09,3.768761e-09,1.4316190211,1.2405279996,6.0047629925,-0.002895738647,3.3,0.0,6.000081934,-0.000443682354,6.0976572558,-0.04598769995,6.0766211589,-0.04279306962,6.0551510559,-0.03016941111,6.0511120902,-0.0291969665,6.0504403889,-0.02843845309
22,20270226,1,ok,4.479251e-09,4.475051e-09,3.698389e-09,3.767709e-09,1.4338205279,1.2408832938,6.0047598567,-0.002877779125,3.3,0.0,6.0000809873,-0.0004721110501,6.0999816237,-0.04594887858,6.0772181685,-0.04265829206,6.054709314,-0.02995768523,6.0515258541,-0.02891767596,6.0507941876,-0.02871713346
