sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,vout_max_v,vout_min_v,vin_max_v,vin_min_v,indrv_max_v,indrv_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
baseline,,unset (plain harness deck),ok,3.264703e-09,3.301815e-09,2.734608e-09,2.80208e-09,1.8819614023,1.6452548506,6.0041622007,-0.002501401924,3.3,0.0,6.0000940688,-0.0002908966915,6.0942299128,-0.0384505089,6.0696681555,-0.0402226777,6.0466018008,-0.02651253229,6.042898767,-0.02579707627,6.0429570725,-0.02535036992
0,20290204,0,ok,3.264703e-09,3.301815e-09,2.734608e-09,2.80208e-09,1.8819614023,1.6452548506,6.0041622007,-0.002501401924,3.3,0.0,6.0000940688,-0.0002908966915,6.0942299128,-0.0384505089,6.0696681555,-0.0402226777,6.0466018008,-0.02651253229,6.042898767,-0.02579707627,6.0429570725,-0.02535036992
0,25290204,0,ok,3.264703e-09,3.301815e-09,2.734608e-09,2.80208e-09,1.8819614023,1.6452548506,6.0041622007,-0.002501401924,3.3,0.0,6.0000940688,-0.0002908966915,6.0942299128,-0.0384505089,6.0696681555,-0.0402226777,6.0466018008,-0.02651253229,6.042898767,-0.02579707627,6.0429570725,-0.02535036992
1,20290205,1,ok,3.266237e-09,3.298988e-09,2.736379e-09,2.799675e-09,1.8815063902,1.6391919709,6.0041950326,-0.002499990762,3.3,0.0,6.0000940609,-0.0002920035948,6.0917005213,-0.03846391214,6.0695537354,-0.04030255138,6.0469888754,-0.02679821201,6.0424191177,-0.02571208638,6.0428221868,-0.02541745476
2,20290206,1,ok,3.268194e-09,3.305248e-09,2.735515e-09,2.804039e-09,1.8812075845,1.6414348077,6.0041465621,-0.002501408646,3.3,0.0,6.000094598,-0.0002914160273,6.0944478616,-0.03794074975,6.0692018103,-0.03992104979,6.0470835744,-0.02689516069,6.0426703384,-0.02578564641,6.0428317435,-0.02542724642
3,20290207,1,ok,3.265782e-09,3.302127e-09,2.734544e-09,2.802212e-09,1.8820937155,1.6424457891,6.0041771457,-0.002503322442,3.3,0.0,6.0000944459,-0.0002901871647,6.0917992861,-0.03810245836,6.0690870127,-0.04035987438,6.0461686813,-0.02669489994,6.0431273618,-0.02574184203,6.0430197762,-0.02537104058
4,20290208,1,ok,3.271978e-09,3.299315e-09,2.73758e-09,2.799289e-09,1.8774979665,1.6407359114,6.004130946,-0.002518938879,3.3,0.0,6.0000942069,-0.0002893798724,6.0932245463,-0.03844795468,6.0693731486,-0.04007613384,6.0463758255,-0.02650984642,6.0427406933,-0.02583317417,6.0427340502,-0.02505946765
5,20290209,1,ok,3.272341e-09,3.301005e-09,2.737583e-09,2.803117e-09,1.8797289408,1.645946504,6.0042066904,-0.002508593336,3.3,0.0,6.0000951199,-0.000291239874,6.0946635757,-0.03832783633,6.0691770437,-0.04015580812,6.0470305192,-0.02669737754,6.0424783125,-0.02556760044,6.0427827109,-0.02518729063
6,20290210,1,ok,3.26457e-09,3.300634e-09,2.735775e-09,2.800604e-09,1.8833349081,1.6473570914,6.0042028295,-0.002512459245,3.3,0.0,6.0000948789,-0.000290558707,6.0941272581,-0.03903377975,6.0698330464,-0.04020851812,6.0462953548,-0.02672479312,6.0422300692,-0.02561000913,6.0429032955,-0.02529519969
7,20290211,1,ok,3.267912e-09,3.302214e-09,2.735842e-09,2.801963e-09,1.8795608119,1.642557041,6.0042148322,-0.002497883344,3.3,0.0,6.0000928542,-0.0002906552307,6.0957661763,-0.03830451503,6.069901734,-0.0403000953,6.0461319484,-0.02650384949,6.0424830612,-0.02561239606,6.0429705511,-0.02507240431
8,20290212,1,ok,3.261925e-09,3.297805e-09,2.734054e-09,2.800083e-09,1.8906254407,1.6470001604,6.0041650022,-0.002466054914,3.3,0.0,6.0000970701,-0.000290634342,6.094728543,-0.03855244738,6.0690561829,-0.04017562416,6.0464074103,-0.02667663053,6.0426259987,-0.02574163154,6.0435182227,-0.02526156669
9,20290213,1,ok,3.263657e-09,3.301991e-09,2.729765e-09,2.804429e-09,1.8829592385,1.6414686931,6.0041591497,-0.002497427594,3.3,0.0,6.0000927802,-0.0002901855922,6.0923015568,-0.03839416907,6.0689130181,-0.04021737255,6.0468482434,-0.0265739464,6.042932199,-0.02564659311,6.0428887841,-0.02516848733
10,20290214,1,ok,3.258293e-09,3.297066e-09,2.731146e-09,2.798814e-09,1.8930328063,1.6485199957,6.004158412,-0.002481875236,3.3,0.0,6.0000977438,-0.0002905063277,6.0937011612,-0.03848197877,6.0694006726,-0.04039508616,6.046716623,-0.0266753696,6.0427616472,-0.02574241879,6.043285702,-0.02529766407
11,20290215,1,ok,3.26399e-09,3.303961e-09,2.733262e-09,2.803362e-09,1.8910508414,1.6399962373,6.0041238561,-0.002481485951,3.3,0.0,6.0000975601,-0.0002912632643,6.0922745809,-0.03771209382,6.0687623189,-0.04014939524,6.0465648428,-0.02678408987,6.0427426799,-0.0259178568,6.042571862,-0.02516587068
12,20290216,1,ok,3.265748e-09,3.299967e-09,2.736103e-09,2.800782e-09,1.8853305478,1.6483142948,6.0042085771,-0.002497306903,3.3,0.0,6.0000961234,-0.0002896583275,6.0941342495,-0.03842555508,6.06939542,-0.03991437625,6.0463902309,-0.02668872911,6.0428733613,-0.02563495932,6.0430233098,-0.02513374575
13,20290217,1,ok,3.262982e-09,3.298562e-09,2.732787e-09,2.799797e-09,1.8843455283,1.6484062862,6.0041670119,-0.002484164622,3.3,0.0,6.0000945587,-0.000291052996,6.094425321,-0.03845733412,6.0686996593,-0.04012550197,6.0467274792,-0.02674140412,6.043225871,-0.02578873097,6.0431009501,-0.02495625076
14,20290218,1,ok,3.265696e-09,3.305912e-09,2.735421e-09,2.804452e-09,1.8841102155,1.641070393,6.0041846617,-0.002501797948,3.3,0.0,6.0000955643,-0.0002917335246,6.0945074566,-0.03876689279,6.069216336,-0.04032160068,6.0462607963,-0.02670175632,6.042823593,-0.02593918425,6.0427758132,-0.02513817236
