sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,vout_max_v,vout_min_v,vin_max_v,vin_min_v,indrv_max_v,indrv_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
baseline,,unset (plain harness deck),ok,5.029557e-09,4.04933e-09,3.971242e-09,3.562479e-09,1.2666332199,1.3818665388,6.0042027562,-0.003217331058,3.3,0.0,6.0000704184,-0.0004518766207,6.092354388,-0.04717174054,6.0693400351,-0.04519222939,6.0517914965,-0.03005138548,6.0480387267,-0.02924764691,6.0476234745,-0.02900685857
0,20360204,0,ok,5.029557e-09,4.04933e-09,3.971242e-09,3.562479e-09,1.2666332199,1.3818665388,6.0042027562,-0.003217331058,3.3,0.0,6.0000704184,-0.0004518766207,6.092354388,-0.04717174054,6.0693400351,-0.04519222939,6.0517914965,-0.03005138548,6.0480387267,-0.02924764691,6.0476234745,-0.02900685857
0,25360204,0,ok,5.029557e-09,4.04933e-09,3.971242e-09,3.562479e-09,1.2666332199,1.3818665388,6.0042027562,-0.003217331058,3.3,0.0,6.0000704184,-0.0004518766207,6.092354388,-0.04717174054,6.0693400351,-0.04519222939,6.0517914965,-0.03005138548,6.0480387267,-0.02924764691,6.0476234745,-0.02900685857
1,20360205,1,ok,5.059591e-09,4.043828e-09,3.988235e-09,3.557695e-09,1.2580150506,1.3830235745,6.0041812707,-0.003245539341,3.3,0.0,6.0000692832,-0.0004521607261,6.0941680399,-0.04754446624,6.0689668657,-0.04554678186,6.0525085576,-0.0301471589,6.0482337991,-0.02928614094,6.0476976326,-0.02892585006
2,20360206,1,ok,5.017734e-09,4.04663e-09,3.965372e-09,3.56368e-09,1.2734449551,1.3815562755,6.0041885716,-0.003199125747,3.3,0.0,6.0000663347,-0.0004509505211,6.0906129064,-0.04720131075,6.0693338985,-0.0450884006,6.0514174871,-0.03014208302,6.0477822945,-0.02924067363,6.0477502949,-0.02903970179
3,20360207,1,ok,5.035284e-09,4.057416e-09,3.975439e-09,3.565402e-09,1.2668394619,1.3765905174,6.0042353706,-0.00323384593,3.3,0.0,6.0000704057,-0.0004493324597,6.0949043121,-0.04715971277,6.0691058224,-0.04483875711,6.0519474727,-0.03001510467,6.0476923898,-0.02929609534,6.0475344169,-0.02900229614
4,20360208,1,ok,5.057682e-09,4.043591e-09,3.98715e-09,3.559903e-09,1.2594953121,1.382179453,6.0041759352,-0.003227630872,3.3,0.0,6.0000703886,-0.0004515550692,6.0934934427,-0.04766330241,6.0697024991,-0.04520124645,6.0516026161,-0.02994588542,6.0475220152,-0.02919732973,6.0481345395,-0.02934503621
5,20360209,1,ok,5.024249e-09,4.055836e-09,3.966503e-09,3.567642e-09,1.267278277,1.3795672465,6.0042270021,-0.003226404119,3.3,0.0,6.0000709093,-0.000451010663,6.0937897675,-0.04723514654,6.0695817636,-0.0457217528,6.0521726717,-0.03003336139,6.0468335041,-0.02923421261,6.0476665271,-0.0289174792
6,20360210,1,ok,5.026752e-09,4.045557e-09,3.973497e-09,3.560023e-09,1.2686829312,1.3835041527,6.0041923719,-0.00320171195,3.3,0.0,6.0000693139,-0.0004524924189,6.0950235221,-0.04659000881,6.0693588122,-0.04521902814,6.0517506465,-0.03012398385,6.0481883501,-0.02929319372,6.0474481739,-0.02892890128
7,20360211,1,ok,5.004639e-09,4.058388e-09,3.959542e-09,3.564571e-09,1.2769040594,1.3790121706,6.0042395352,-0.003186832554,3.3,0.0,6.000070703,-0.0004529417916,6.0922870066,-0.04729810196,6.0690578914,-0.04499021099,6.0521069078,-0.0300151568,6.0467273606,-0.02920653488,6.0472267258,-0.02888230714
