sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,vout_max_v,vout_min_v,vin_max_v,vin_min_v,indrv_max_v,indrv_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
baseline,,unset (plain harness deck),ok,4.811015e-09,6.219308e-09,4.127501e-09,4.816657e-09,1.3957173361,0.93154805903,6.0048787948,-0.002333234354,3.3,0.0,6.0020938587,-0.0006037845162,6.1036301505,-0.0408004522,6.0844078116,-0.03920886573,6.0531034698,-0.02926759113,6.0496002056,-0.02712364454,6.048996547,-0.02661188257
0,20400204,0,ok,4.811015e-09,6.219308e-09,4.127501e-09,4.816657e-09,1.3957173361,0.93154805903,6.0048787948,-0.002333234354,3.3,0.0,6.0020938587,-0.0006037845162,6.1036301505,-0.0408004522,6.0844078116,-0.03920886573,6.0531034698,-0.02926759113,6.0496002056,-0.02712364454,6.048996547,-0.02661188257
0,25400204,0,ok,4.811015e-09,6.219308e-09,4.127501e-09,4.816657e-09,1.3957173361,0.93154805903,6.0048787948,-0.002333234354,3.3,0.0,6.0020938587,-0.0006037845162,6.1036301505,-0.0408004522,6.0844078116,-0.03920886573,6.0531034698,-0.02926759113,6.0496002056,-0.02712364454,6.048996547,-0.02661188257
1,20400205,1,ok,4.797039e-09,6.224e-09,4.120966e-09,4.822095e-09,1.3996632139,0.92889584977,6.004948011,-0.002316611563,3.3,0.0,6.0008732878,-0.0006031370173,6.1058231806,-0.04131429288,6.08466974,-0.03964562493,6.0528362552,-0.02917909694,6.0497976655,-0.02754542655,6.0491960243,-0.02645203569
2,20400206,1,ok,4.825106e-09,6.217487e-09,4.135633e-09,4.816052e-09,1.3923849779,0.93307207614,6.0049131615,-0.002309515925,3.3,0.0,6.0020668304,-0.0006073734259,6.1059242632,-0.04125065574,6.0846594354,-0.03956034135,6.0527665902,-0.02916438521,6.0494397348,-0.02710933868,6.0495022624,-0.0265785119
3,20400207,1,ok,4.81394e-09,6.214905e-09,4.132669e-09,4.814936e-09,1.3935990283,0.93324339808,6.004904253,-0.002321992188,3.3,0.0,6.0008827285,-0.0006034044096,6.1049461157,-0.04110910114,6.0841809019,-0.03962035178,6.0530652522,-0.02920602439,6.0494600538,-0.02720968929,6.0499221501,-0.02676187845
4,20400208,1,ok,4.815848e-09,6.219318e-09,4.131873e-09,4.818642e-09,1.3935131531,0.93262262284,6.0049159147,-0.002316133366,3.3,0.0,6.000885955,-0.0006068789648,6.1039725614,-0.03972718565,6.0847334517,-0.03959969148,6.0529375972,-0.02923806141,6.0493851555,-0.02711178399,6.0500993645,-0.02655174716
5,20400209,1,ok,4.806885e-09,6.22757e-09,4.12565e-09,4.821032e-09,1.3960874461,0.93031205482,6.004923275,-0.002349857009,3.3,0.0,6.0008868714,-0.0006071512128,6.102152949,-0.04135159869,6.0834817853,-0.03959342758,6.052885927,-0.02918264604,6.0496444604,-0.0270853451,6.049438245,-0.02672536546
6,20400210,1,ok,4.809208e-09,6.239242e-09,4.123809e-09,4.82999e-09,1.3951449914,0.92869035889,6.0049348746,-0.002347698026,3.3,0.0,6.0009678231,-0.000608476659,6.099945517,-0.04137709651,6.0849705384,-0.03968708905,6.053010366,-0.02919778319,6.0494277958,-0.02703758236,6.0494747517,-0.02628054351
7,20400211,1,ok,4.797174e-09,6.216104e-09,4.121027e-09,4.817245e-09,1.3988594357,0.93026292713,6.0048939984,-0.00230483021,3.3,0.0,6.0009258902,-0.0006021649506,6.1009497762,-0.03990545113,6.0841732278,-0.03955553284,6.0518113213,-0.02932555817,6.0494958163,-0.02747926381,6.0496118766,-0.02678042056
8,20400212,1,ok,4.810487e-09,6.210742e-09,4.127682e-09,4.811902e-09,1.3953399407,0.93281152719,6.0048767158,-0.002339891028,3.3,0.0,6.0008391176,-0.0006080688086,6.1042057641,-0.04086930452,6.0847752201,-0.03968693763,6.0530463249,-0.02927689267,6.0493627466,-0.027264334,6.0499810284,-0.02665492125
9,20400213,1,ok,4.809321e-09,6.226759e-09,4.118023e-09,4.822735e-09,1.3964365755,0.93161588704,6.0049281665,-0.002301253297,3.3,0.0,6.000923665,-0.0006015879185,6.1032214429,-0.0407408151,6.0837144777,-0.03935315543,6.0524667567,-0.02930756868,6.0495366265,-0.0273425711,6.0494026346,-0.02709327137
10,20400214,1,ok,4.82365e-09,6.231981e-09,4.128748e-09,4.82692e-09,1.3917327807,0.92840446173,6.0049740914,-0.002350952341,3.3,0.0,6.0009472353,-0.0006041578644,6.1015646901,-0.04093504576,6.0852963041,-0.03917324258,6.0531748266,-0.02931542454,6.0492767365,-0.02747581215,6.0491100105,-0.02629604946
11,20400215,1,ok,4.801129e-09,6.19732e-09,4.120678e-09,4.80539e-09,1.3977051723,0.93351552588,6.0048718667,-0.002303332938,3.3,0.0,6.0009415572,-0.0006050310618,6.1045184405,-0.04011818417,6.0848794913,-0.03912948,6.0526696147,-0.02909847228,6.0497555628,-0.02737374733,6.0497502715,-0.02643242959
12,20400216,1,ok,4.794892e-09,6.235556e-09,4.116111e-09,4.825765e-09,1.4007714731,0.92857752081,6.0049925136,-0.002284207214,3.3,0.0,6.0010495707,-0.0006039576379,6.1014645743,-0.04132323915,6.0842863547,-0.03966747222,6.0529171198,-0.02916797606,6.0489748713,-0.02718027566,6.0494796503,-0.02634552426
13,20400217,1,ok,4.814785e-09,6.199132e-09,4.133232e-09,4.803976e-09,1.3936784854,0.93414152645,6.004899026,-0.002320866596,3.3,0.0,6.0008488698,-0.0006026311256,6.1051940069,-0.04101742948,6.0843417492,-0.03948667251,6.0530734891,-0.02920874855,6.0492940766,-0.02696451795,6.0500328322,-0.02666608898
14,20400218,1,ok,4.820662e-09,6.230204e-09,4.131656e-09,4.820537e-09,1.3932783029,0.92950722473,6.0049758251,-0.002329618768,3.3,0.0,6.0020865065,-0.0006032783321,6.0999318363,-0.04045977692,6.0840722599,-0.03938252547,6.0523143458,-0.0293619655,6.0499003786,-0.02751242307,6.0493536251,-0.02656977933
