sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,vout_max_v,vout_min_v,vin_max_v,vin_min_v,indrv_max_v,indrv_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
baseline,,unset (plain harness deck),ok,3.423009e-09,4.401915e-09,3.100024e-09,3.66534e-09,1.7946063965,1.2102185296,6.0055986952,-0.002796549666,3.3,0.0,6.0006276895,-0.0003833934058,6.1158700041,-0.04579770792,6.0835510215,-0.03992034815,6.0537113349,-0.02995876825,6.051768725,-0.02891724357,6.0522078543,-0.02837595588
0,20380204,0,ok,3.423009e-09,4.401915e-09,3.100024e-09,3.66534e-09,1.7946063965,1.2102185296,6.0055986952,-0.002796549666,3.3,0.0,6.0006276895,-0.0003833934058,6.1158700041,-0.04579770792,6.0835510215,-0.03992034815,6.0537113349,-0.02995876825,6.051768725,-0.02891724357,6.0522078543,-0.02837595588
0,25380204,0,ok,3.423009e-09,4.401915e-09,3.100024e-09,3.66534e-09,1.7946063965,1.2102185296,6.0055986952,-0.002796549666,3.3,0.0,6.0006276895,-0.0003833934058,6.1158700041,-0.04579770792,6.0835510215,-0.03992034815,6.0537113349,-0.02995876825,6.051768725,-0.02891724357,6.0522078543,-0.02837595588
1,20380205,1,ok,3.421805e-09,4.401699e-09,3.100911e-09,3.664894e-09,1.7973364597,1.2104216617,6.0056017785,-0.002796946683,3.3,0.0,6.0006182079,-0.0003841162819,6.1137158283,-0.04603732941,6.0831886035,-0.03992285636,6.0546688543,-0.02972789622,6.0510534569,-0.02884181899,6.0524073364,-0.02846403051
2,20380206,1,ok,3.424264e-09,4.404568e-09,3.099215e-09,3.667463e-09,1.7944375536,1.2107511606,6.0056234339,-0.002775854228,3.3,0.0,6.0005237043,-0.0003835559602,6.1160308001,-0.04550094833,6.0838646313,-0.03999490269,6.0536266943,-0.03006121429,6.0520874634,-0.02887491791,6.0519504509,-0.0280924106
3,20380207,1,ok,3.420644e-09,4.403751e-09,3.099324e-09,3.66468e-09,1.7953629577,1.2100658902,6.0056133853,-0.002768229963,3.3,0.0,6.0004992591,-0.0003834191415,6.1146375375,-0.04599134479,6.0827833555,-0.03995694803,6.0541759436,-0.02997477869,6.0519958242,-0.02900535892,6.052230908,-0.02854121827
4,20380208,1,ok,3.426567e-09,4.401496e-09,3.099816e-09,3.666821e-09,1.7916120015,1.209331582,6.0055843468,-0.002787784788,3.3,0.0,6.0001338211,-0.0003824609196,6.1171503804,-0.04518009783,6.0835828142,-0.03999177092,6.054521002,-0.02999395605,6.0520205979,-0.02897366672,6.0520161299,-0.0283312153
5,20380209,1,ok,3.4193e-09,4.414331e-09,3.097935e-09,3.674899e-09,1.7969579048,1.2061842088,6.005626799,-0.002786105693,3.3,0.0,6.0008684763,-0.0003837778045,6.1170204941,-0.04591952554,6.0836576529,-0.03997827649,6.0541391612,-0.02984573346,6.0520652119,-0.02908605627,6.0520251415,-0.02826832987
6,20380210,1,ok,3.407984e-09,4.399815e-09,3.095959e-09,3.662304e-09,1.8028214422,1.2100369334,6.0055798583,-0.002786656266,3.3,0.0,6.000604024,-0.0003828698693,6.117607548,-0.0460934065,6.0838149793,-0.03984530232,6.0541800565,-0.02993902336,6.0518572389,-0.02893636123,6.052364636,-0.02852323879
7,20380211,1,ok,3.436235e-09,4.396901e-09,3.107381e-09,3.663547e-09,1.7861187014,1.2105903974,6.0055767473,-0.002790066497,3.3,0.0,6.0006335491,-0.0003832646485,6.1177933279,-0.04607891843,6.0839803626,-0.03976150575,6.0533961608,-0.03002811558,6.0521217957,-0.02873308792,6.0525838229,-0.02836792435
