sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,vout_max_v,vout_min_v,vin_max_v,vin_min_v,indrv_max_v,indrv_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
baseline,,unset (plain harness deck),ok,4.478081e-09,4.678248e-09,3.93254e-09,4.14023e-09,1.3619154623,1.1300570684,6.0059449477,-0.00368557669,3.3,0.0,6.0005497016,-0.006849688963,6.1237773682,-0.05431739519,6.0834852673,-0.04352949676,6.0616792641,-0.03245135468,6.0597850401,-0.03201270653,6.0597536895,-0.03184953236
0,20320204,0,ok,4.478081e-09,4.678248e-09,3.93254e-09,4.14023e-09,1.3619154623,1.1300570684,6.0059449477,-0.00368557669,3.3,0.0,6.0005497016,-0.006849688963,6.1237773682,-0.05431739519,6.0834852673,-0.04352949676,6.0616792641,-0.03245135468,6.0597850401,-0.03201270653,6.0597536895,-0.03184953236
0,25320204,0,ok,4.478081e-09,4.678248e-09,3.93254e-09,4.14023e-09,1.3619154623,1.1300570684,6.0059449477,-0.00368557669,3.3,0.0,6.0005497016,-0.006849688963,6.1237773682,-0.05431739519,6.0834852673,-0.04352949676,6.0616792641,-0.03245135468,6.0597850401,-0.03201270653,6.0597536895,-0.03184953236
1,20320205,1,ok,4.463041e-09,4.672662e-09,3.923205e-09,4.135767e-09,1.3667629673,1.1282815443,6.0059777934,-0.003659004412,3.3,0.0,6.0002854297,-0.006779196594,6.1209661703,-0.05377104012,6.0838465877,-0.04339475624,6.061075896,-0.03245917258,6.0593228675,-0.03163590048,6.0595774083,-0.03224168085
2,20320206,1,ok,4.452559e-09,4.68801e-09,3.921078e-09,4.143324e-09,1.3696491206,1.1281661872,6.0060544927,-0.00366055955,3.3,0.0,6.0004126976,-0.006910919062,6.1247080613,-0.05474707476,6.082828114,-0.04343686769,6.0609468974,-0.03238776134,6.0591629943,-0.03210911121,6.0599130586,-0.03154667276
3,20320207,1,ok,4.488603e-09,4.664745e-09,3.935992e-09,4.130217e-09,1.3581195329,1.1237805856,6.0059116576,-0.003680695223,3.3,0.0,6.0010946074,-0.006763378685,6.1193966794,-0.05490855354,6.0832715812,-0.04340191164,6.0610996097,-0.0324219361,6.0585041114,-0.03207227036,6.059696067,-0.03195999205
4,20320208,1,ok,4.460316e-09,4.673797e-09,3.923945e-09,4.139166e-09,1.3676187348,1.1200484043,6.0059299979,-0.003668641345,3.3,0.0,6.0005504897,-0.006791642387,6.1247588192,-0.05428170574,6.0832946059,-0.04356362057,6.0610865533,-0.03254347859,6.0584884195,-0.0320713419,6.0595919816,-0.03207229661
5,20320209,1,ok,4.47458e-09,4.685146e-09,3.930359e-09,4.144488e-09,1.363936695,1.1288828056,6.0059601204,-0.003693055195,3.3,0.0,6.0006286239,-0.00674050612,6.1223596614,-0.05414969132,6.083119297,-0.04360092536,6.0613999456,-0.03246507355,6.0600106977,-0.03192641495,6.0597992216,-0.03189254307
6,20320210,1,ok,4.485177e-09,4.672316e-09,3.935211e-09,4.138249e-09,1.3617224784,1.132658778,6.0059263991,-0.00367412552,3.3,0.0,6.0005576308,-0.006834366065,6.1233422323,-0.05449307733,6.08398197,-0.0437784138,6.0607684058,-0.0324509922,6.0597376572,-0.03206186655,6.0598065518,-0.03195995825
7,20320211,1,ok,4.462234e-09,4.66929e-09,3.924392e-09,4.132582e-09,1.3655842706,1.1349807316,6.0059051385,-0.003660210643,3.3,0.0,6.0004989453,-0.006651613996,6.1237640105,-0.05351640232,6.083619217,-0.04380098109,6.0610898899,-0.03251353563,6.0584356216,-0.03191293491,6.0597521007,-0.03219190064
