sample,seed,sw_stat_mismatch,status,ronw_n06_3.6,ronw_n06_4.2,ronw_n06_5,ronw_p06_3.6,ronw_p06_4.2,ronw_p06_5,fb_vf_0.1,fb_vf_0.3,fb_vf_1
baseline,,unset (plain deck),ok,4.571873725154442,4.051017769952348,3.6176323792209777,15.227903808994643,13.12912968008901,11.24932227115729,0.7624807149733328,0.8167880540514745,0.8838085684871748
0,20340821,0,ok,4.571873725154442,4.051017769952348,3.6176323792209777,15.227903808994643,13.12912968008901,11.24932227115729,0.7624807149733328,0.8167880540514745,0.8838085684871748
0,25340821,0,ok,4.571873725154442,4.051017769952348,3.6176323792209777,15.227903808994643,13.12912968008901,11.24932227115729,0.7624807149733328,0.8167880540514745,0.8838085684871748
1,20340822,1,ok,4.5748798427200565,4.047735990435378,3.612969970323289,15.213918359161202,13.143719034096215,11.250283836351322,0.7624807149733328,0.8167880540514745,0.8838085684871748
2,20340823,1,ok,4.570700452752181,4.046771966697692,3.6307172411292408,15.192919631325722,13.183541529645558,11.254392982205802,0.7624807149733328,0.8167880540514745,0.8838085684871748
3,20340824,1,ok,4.57741924377723,4.047988966358694,3.6152270304698635,15.189353595742006,13.060439941980112,11.270336424292884,0.7624807149733328,0.8167880540514745,0.8838085684871748
4,20340825,1,ok,4.568352448406346,4.04411907315596,3.6120432591356617,15.260829573821418,13.070449344906388,11.25216432184093,0.7624807149733328,0.8167880540514745,0.8838085684871748
5,20340826,1,ok,4.570089910663046,4.065775687609096,3.633123373729859,15.325595359428673,13.177120547146023,11.275019435972462,0.7624807149733328,0.8167880540514745,0.8838085684871748
6,20340827,1,ok,4.573994958499512,4.052050561459892,3.6153867754560154,15.252050083051481,13.147280239776066,11.246886022266752,0.7624807149733328,0.8167880540514745,0.8838085684871748
7,20340828,1,ok,4.560239191095735,4.048275478496344,3.6261316641711003,15.226130110022496,13.127921347386579,11.278842318379203,0.7624807149733328,0.8167880540514745,0.8838085684871748
8,20340829,1,ok,4.591147229346067,4.049562849313071,3.6078764002975365,15.233721942079395,13.141733072285259,11.261919720773083,0.7624807149733328,0.8167880540514745,0.8838085684871748
9,20340830,1,ok,4.569040703252999,4.054945914251288,3.6106324218377654,15.239149025470251,13.092916534094936,11.300894981603793,0.7624807149733328,0.8167880540514745,0.8838085684871748
10,20340831,1,ok,4.570980812237115,4.051054720822227,3.6233706800797663,15.225268543857526,13.039847511185494,11.258008475160466,0.7624807149733328,0.8167880540514745,0.8838085684871748
11,20340832,1,ok,4.580126163917978,4.058374253275279,3.619608318093742,15.241455755196013,13.140279607840723,11.239075726952658,0.7624807149733328,0.8167880540514745,0.8838085684871748
12,20340833,1,ok,4.584422530682628,4.049473260550501,3.622525958834131,15.275015209951745,13.121880495834972,11.238553329734886,0.7624807149733328,0.8167880540514745,0.8838085684871748
13,20340834,1,ok,4.574275361204526,4.04900992855559,3.6208074923091624,15.21343457764631,13.164006415504854,11.224236074734335,0.7624807149733328,0.8167880540514745,0.8838085684871748
14,20340835,1,ok,4.550648712935301,4.04530448263087,3.6247879005681374,15.188306330570882,13.12793058076337,11.262251883233532,0.7624807149733328,0.8167880540514745,0.8838085684871748
15,20340836,1,ok,4.56834884678003,4.061099596873694,3.609170876489295,15.194916563317982,13.117527681967859,11.24396297828287,0.7624807149733328,0.8167880540514745,0.8838085684871748
16,20340837,1,ok,4.5785891407568045,4.049591283817287,3.6244017021224115,15.271289144885921,13.133113055209817,11.227299916530097,0.7624807149733328,0.8167880540514745,0.8838085684871748
17,20340838,1,ok,4.569118347022812,4.051147276999902,3.619870209720364,15.198152199260392,13.176176066456245,11.253682107594715,0.7624807149733328,0.8167880540514745,0.8838085684871748
18,20340839,1,ok,4.554493887427038,4.050428053139796,3.61947066419948,15.196997395859336,13.104675664029747,11.230002873619913,0.7624807149733328,0.8167880540514745,0.8838085684871748
19,20340840,1,ok,4.571685303025781,4.049549113243522,3.6215559832744746,15.215430062976893,13.112364143639462,11.297576492778465,0.7624807149733328,0.8167880540514745,0.8838085684871748
20,20340841,1,ok,4.571876419300936,4.0521071315695645,3.6256150604491677,15.168893218523097,13.151865663094641,11.24911806019592,0.7624807149733328,0.8167880540514745,0.8838085684871748
21,20340842,1,ok,4.579917032005053,4.0401231926068,3.61671110057278,15.263901989874766,13.11482708533774,11.147236743785236,0.7624807149733328,0.8167880540514745,0.8838085684871748
22,20340843,1,ok,4.569808186922399,4.048094098573427,3.620109782838244,15.193802989764867,13.118827386732866,11.224112644736016,0.7624807149733328,0.8167880540514745,0.8838085684871748
23,20340844,1,ok,4.573087486115122,4.04611898196513,3.615396864926478,15.15559525625478,13.071621340198769,11.254788713080709,0.7624807149733328,0.8167880540514745,0.8838085684871748
24,20340845,1,ok,4.574410435287808,4.057647637404157,3.624906431553508,15.279127037873941,13.16452338143189,11.24004855595388,0.7624807149733328,0.8167880540514745,0.8838085684871748
25,20340846,1,ok,4.577232933007892,4.066743458962864,3.622405723553492,15.225624108228855,13.087287933950682,11.272717562476684,0.7624807149733328,0.8167880540514745,0.8838085684871748
26,20340847,1,ok,4.559748504733314,4.046394918200307,3.6210461061835852,15.18049730671596,13.090209293945781,11.262897140956358,0.7624807149733328,0.8167880540514745,0.8838085684871748
27,20340848,1,ok,4.579501592160419,4.0463621956569895,3.6200303186523444,15.126258141016878,13.12131030282619,11.22763234529013,0.7624807149733328,0.8167880540514745,0.8838085684871748
28,20340849,1,ok,4.572046511025985,4.054371329529951,3.6253272202909015,15.18325092396529,13.199801749537563,11.225820336273726,0.7624807149733328,0.8167880540514745,0.8838085684871748
29,20340850,1,ok,4.5694976889161705,4.056087120136251,3.6130554746946744,15.283613510726108,13.13630314062073,11.239048471293314,0.7624807149733328,0.8167880540514745,0.8838085684871748
30,20340851,1,ok,4.579996880666828,4.050862563321704,3.610626057585436,15.192674751136702,13.104521424018285,11.275732161290634,0.7624807149733328,0.8167880540514745,0.8838085684871748
31,20340852,1,ok,4.553136287184326,4.046873984584324,3.6138282052783577,15.219843355965496,13.140661529452466,11.24886367302703,0.7624807149733328,0.8167880540514745,0.8838085684871748
32,20340853,1,ok,4.573034100906317,4.0431465102709145,3.62343927705017,15.290599657027819,13.109733061480561,11.264409758735226,0.7624807149733328,0.8167880540514745,0.8838085684871748
33,20340854,1,ok,4.589750045496281,4.051310116145803,3.6045482493247407,15.224231087527833,13.124648367180106,11.241618569835952,0.7624807149733328,0.8167880540514745,0.8838085684871748
34,20340855,1,ok,4.5746517365354915,4.053835396945735,3.614652430276138,15.213017399493111,13.142963774510147,11.222570875626472,0.7624807149733328,0.8167880540514745,0.8838085684871748
35,20340856,1,ok,4.57603399029237,4.043033122003962,3.6145473762929536,15.250794934630365,13.167249345613493,11.257152419835556,0.7624807149733328,0.8167880540514745,0.8838085684871748
36,20340857,1,ok,4.578109168075868,4.059923193987938,3.6187751958127707,15.252366586548819,13.12989425312876,11.253713064795157,0.7624807149733328,0.8167880540514745,0.8838085684871748
