sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,ishoot_rise_a,ishoot_fall_a,energy_per_edge_j,vout_max_v,vout_min_v,vin_max_v,vin_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
baseline,,unset (plain harness deck),ok,4.19696e-09,3.454664e-09,2.966813e-09,2.925348e-09,1.4552729621,1.5546513918,0.2896286,0.001177188,1.8549904928e-08,6.0043293794,-0.003557825422,6.0,0.0,6.0251445791,-0.01118708052,6.0181856641,-0.0114251409,6.0402747673,-0.02341126982,6.0487040537,-0.02884045751,6.0495493473,-0.02920916456
0,20350225,0,ok,4.19696e-09,3.454664e-09,2.966813e-09,2.925348e-09,1.4552729621,1.5546513918,0.2896286,0.001177188,1.8549904928e-08,6.0043293794,-0.003557825422,6.0,0.0,6.0251445791,-0.01118708052,6.0181856641,-0.0114251409,6.0402747673,-0.02341126982,6.0487040537,-0.02884045751,6.0495493473,-0.02920916456
0,25350225,0,ok,4.19696e-09,3.454664e-09,2.966813e-09,2.925348e-09,1.4552729621,1.5546513918,0.2896286,0.001177188,1.8549904928e-08,6.0043293794,-0.003557825422,6.0,0.0,6.0251445791,-0.01118708052,6.0181856641,-0.0114251409,6.0402747673,-0.02341126982,6.0487040537,-0.02884045751,6.0495493473,-0.02920916456
1,20350226,1,ok,4.214044e-09,3.453277e-09,2.974082e-09,2.924215e-09,1.4521541967,1.5574645853,0.2889528,0.004954672,1.8549821215e-08,6.0042857534,-0.00360637508,6.0,0.0,6.0248549697,-0.01116509942,6.0181024903,-0.01140946044,6.0401034711,-0.02345423793,6.0486493437,-0.0284895817,6.0494578746,-0.02924267678
2,20350227,1,ok,4.186149e-09,3.465389e-09,2.96177e-09,2.930813e-09,1.4587696994,1.5504085371,0.2895085,0.001240162,1.8549797645e-08,6.0043816462,-0.00355238057,6.0,0.0,6.0251201677,-0.0111876024,6.0179132175,-0.01138716077,6.0402832004,-0.0231645933,6.0481900725,-0.02887129505,6.0497040037,-0.02924419391
3,20350228,1,ok,4.208748e-09,3.459934e-09,2.971789e-09,2.929483e-09,1.4499083282,1.5547808413,0.28716,0.003720559,1.854981668e-08,6.004305254,-0.003605897417,6.0,0.0,6.0251482907,-0.01122295442,6.017099571,-0.01147940549,6.0402405615,-0.02342329403,6.048475635,-0.02854915336,6.049264708,-0.02917378568
4,20350229,1,ok,4.201764e-09,3.453433e-09,2.969328e-09,2.924771e-09,1.4514699049,1.5569745654,0.2901815,0.003609767,1.8550267376e-08,6.0042912532,-0.003596854282,6.0,0.0,6.0253764731,-0.01120367658,6.018167504,-0.01147810041,6.0403431987,-0.02339513755,6.0480464537,-0.02881913799,6.0491704085,-0.02874120215
5,20350230,1,ok,4.206203e-09,3.456402e-09,2.975319e-09,2.923193e-09,1.4507855675,1.5593709567,0.2892629,0.01822198,1.8549565564e-08,6.004245189,-0.003573218229,6.0,0.0,6.025413392,-0.01122277136,6.0184877038,-0.0115041039,6.04016706,-0.02342312323,6.0481536882,-0.02890094652,6.049991844,-0.02925396457
6,20350231,1,ok,4.199191e-09,3.450746e-09,2.966081e-09,2.924062e-09,1.454275185,1.5650400754,0.2892492,0.01297294,1.8550009591e-08,6.0042279159,-0.003549608571,6.0,0.0,6.024561544,-0.01113217483,6.0174309689,-0.01151352067,6.0401102154,-0.02337812793,6.0487128249,-0.02892105929,6.0498105894,-0.0293683579
7,20350232,1,ok,4.185587e-09,3.451787e-09,2.96113e-09,2.924035e-09,1.4581823622,1.5586127801,0.286803,0.003341379,1.8549971329e-08,6.0043120166,-0.003589646748,6.0,0.0,6.0250750278,-0.01118742663,6.0182401244,-0.01144655504,6.0402347418,-0.0234537333,6.0487920437,-0.02862638637,6.0493756461,-0.02925841209
