sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,ishoot_rise_a,ishoot_fall_a,energy_per_edge_j,vout_max_v,vout_min_v,vin_max_v,vin_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
baseline,,unset (plain harness deck),ok,3.419681e-09,4.401284e-09,2.6789e-09,3.443941e-09,1.7951441407,1.2114091894,0.2408276,0.007722048,1.8547841514e-08,6.0054093319,-0.002980572151,6.0,0.0,6.0229456342,-0.01330253542,6.0225340683,-0.01019235538,6.0430641205,-0.0227337653,6.050967751,-0.02835974757,6.0520259657,-0.02808986092
0,20380225,0,ok,3.419681e-09,4.401284e-09,2.6789e-09,3.443941e-09,1.7951441407,1.2114091894,0.2408276,0.007722048,1.8547841514e-08,6.0054093319,-0.002980572151,6.0,0.0,6.0229456342,-0.01330253542,6.0225340683,-0.01019235538,6.0430641205,-0.0227337653,6.050967751,-0.02835974757,6.0520259657,-0.02808986092
0,25380225,0,ok,3.419681e-09,4.401284e-09,2.6789e-09,3.443941e-09,1.7951441407,1.2114091894,0.2408276,0.007722048,1.8547841514e-08,6.0054093319,-0.002980572151,6.0,0.0,6.0229456342,-0.01330253542,6.0225340683,-0.01019235538,6.0430641205,-0.0227337653,6.050967751,-0.02835974757,6.0520259657,-0.02808986092
1,20380226,1,ok,3.423623e-09,4.406272e-09,2.680628e-09,3.446403e-09,1.7970954012,1.2050684438,0.2445408,0.006160593,1.8547631608e-08,6.0054066864,-0.002999315826,6.0,0.0,6.0228868487,-0.01329066422,6.0224162967,-0.01007391128,6.0429857806,-0.02260027856,6.0501726948,-0.02844198422,6.0522995565,-0.02813901651
2,20380227,1,ok,3.427249e-09,4.398685e-09,2.680559e-09,3.443977e-09,1.793428757,1.2048888444,0.2441959,0.003538952,1.854793165e-08,6.0053858594,-0.002999036659,6.0,0.0,6.0230238758,-0.01327030196,6.0223274132,-0.01011360735,6.0427019368,-0.02275201259,6.0510320488,-0.02808961443,6.0517568531,-0.02813905903
3,20380228,1,ok,3.417923e-09,4.40274e-09,2.677748e-09,3.444433e-09,1.7971917939,1.2093245445,0.2433622,0.006409587,1.8547623402e-08,6.005391662,-0.003002658351,6.0,0.0,6.02287769,-0.01327435194,6.0223359819,-0.01005872242,6.0429706756,-0.02270212765,6.0505294746,-0.02839453039,6.0521901851,-0.0281600194
4,20380229,1,ok,3.425679e-09,4.402691e-09,2.680107e-09,3.444675e-09,1.7951653107,1.2037392913,0.2451346,0.0006082186,1.8548114406e-08,6.0053728361,-0.002998728897,6.0,0.0,6.022920082,-0.01328022229,6.0224676289,-0.009903962588,6.0431013947,-0.02279371829,6.0506546944,-0.02829475411,6.0517351511,-0.02804407153
5,20380230,1,ok,3.421055e-09,4.40252e-09,2.678922e-09,3.445108e-09,1.7937667644,1.2041149703,0.2405624,0.003518488,1.8547715847e-08,6.0054005173,-0.002987250596,6.0,0.0,6.022957507,-0.01328259557,6.0224148035,-0.009995241206,6.0428891983,-0.02278043522,6.0507541379,-0.02804311954,6.0521311264,-0.02809438713
6,20380231,1,ok,3.419014e-09,4.407933e-09,2.676601e-09,3.449364e-09,1.7958469854,1.2043904196,0.2419677,0.005821296,1.8547540495e-08,6.0054173952,-0.002987802853,6.0,0.0,6.0229434214,-0.01328318267,6.0224023042,-0.01014174565,6.0426316651,-0.02268257974,6.0509636133,-0.02794116514,6.0522596874,-0.02818109612
7,20380232,1,ok,3.423723e-09,4.403868e-09,2.683625e-09,3.443802e-09,1.7943072212,1.2105877488,0.2419096,0.007960902,1.8547725533e-08,6.0054170874,-0.002986941427,6.0,0.0,6.0229503019,-0.01333116811,6.02255127,-0.01023458777,6.0432395468,-0.02283455225,6.0510601456,-0.02848829032,6.0523124659,-0.02801413591
