sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,ishoot_rise_a,ishoot_fall_a,energy_per_edge_j,vout_max_v,vout_min_v,vin_max_v,vin_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
baseline,,unset (plain harness deck),ok,5.368013e-09,5.556897e-09,3.697771e-09,4.161316e-09,1.245871418,1.0483430678,0.1882948,0.00915665,1.856770775e-08,6.004092104,-0.002753825177,6.0,0.0,6.0330238278,-0.01912986303,6.0217708493,-0.01250582132,6.0402269549,-0.02279844603,6.0462900856,-0.02762361765,6.0467007728,-0.02759348621
0,20280225,0,ok,5.368013e-09,5.556897e-09,3.697771e-09,4.161316e-09,1.245871418,1.0483430678,0.1882948,0.00915665,1.856770775e-08,6.004092104,-0.002753825177,6.0,0.0,6.0330238278,-0.01912986303,6.0217708493,-0.01250582132,6.0402269549,-0.02279844603,6.0462900856,-0.02762361765,6.0467007728,-0.02759348621
0,25280225,0,ok,5.368013e-09,5.556897e-09,3.697771e-09,4.161316e-09,1.245871418,1.0483430678,0.1882948,0.00915665,1.856770775e-08,6.004092104,-0.002753825177,6.0,0.0,6.0330238278,-0.01912986303,6.0217708493,-0.01250582132,6.0402269549,-0.02279844603,6.0462900856,-0.02762361765,6.0467007728,-0.02759348621
1,20280226,1,ok,5.360837e-09,5.565321e-09,3.693232e-09,4.162757e-09,1.2474076283,1.0455686217,0.1880177,0.008256576,1.8567936814e-08,6.0041229731,-0.002753838332,6.0,0.0,6.0330529666,-0.01903999953,6.0217422946,-0.01242218066,6.040179528,-0.02276364272,6.0457223459,-0.02732772164,6.0469913811,-0.02756069785
2,20280227,1,ok,5.361354e-09,5.553579e-09,3.692765e-09,4.161513e-09,1.2464765992,1.0507381322,0.1884663,0.01005474,1.8567926347e-08,6.0041059419,-0.0027868152,6.0,0.0,6.0330112889,-0.01920881098,6.0217794552,-0.01251367798,6.040376894,-0.02278673481,6.0466108369,-0.02749720693,6.0464851978,-0.02732860454
3,20280228,1,ok,5.392472e-09,5.561719e-09,3.705441e-09,4.165457e-09,1.2393602419,1.0467353791,0.1887545,0.008631104,1.8567545582e-08,6.0041272757,-0.002808439709,6.0,0.0,6.0325649423,-0.01908461336,6.0212870856,-0.01254539421,6.0404287135,-0.02281161185,6.0465366315,-0.02735483675,6.0461528056,-0.027559334
4,20280229,1,ok,5.353276e-09,5.5466e-09,3.688282e-09,4.15793e-09,1.2477757148,1.0517532524,0.1886903,0.01020453,1.8567915547e-08,6.0041185138,-0.002767503922,6.0,0.0,6.032741204,-0.0191329453,6.0220291338,-0.0125531135,6.0403558146,-0.02293756168,6.0460418892,-0.02755187569,6.0465717132,-0.02750092061
5,20280230,1,ok,5.350682e-09,5.561616e-09,3.689306e-09,4.163134e-09,1.2486710959,1.0486161532,0.1876882,0.01014877,1.8567670532e-08,6.0041056985,-0.002783697907,6.0,0.0,6.0326212879,-0.01909745414,6.0219151439,-0.01256021044,6.0401524623,-0.02282843376,6.046068155,-0.02718128698,6.0463245612,-0.02755766591
6,20280231,1,ok,5.375243e-09,5.570756e-09,3.700291e-09,4.16944e-09,1.2435228228,1.0473439574,0.1880189,0.01036589,1.8567247212e-08,6.0041791048,-0.00276275142,6.0,0.0,6.0328815418,-0.01912075517,6.0218240929,-0.01251549989,6.0400873048,-0.02270537071,6.0463044944,-0.02764498103,6.0464050115,-0.02767948712
7,20280232,1,ok,5.370899e-09,5.560849e-09,3.70057e-09,4.163706e-09,1.2440746372,1.0495482021,0.1878232,0.01011125,1.8567686899e-08,6.004096006,-0.002782956294,6.0,0.0,6.0333004206,-0.01925839226,6.0218720206,-0.01248087493,6.0402812265,-0.02279694577,6.0466208217,-0.02759123655,6.0468792254,-0.02756802918
8,20280233,1,ok,5.356497e-09,5.553828e-09,3.693127e-09,4.159199e-09,1.2473895716,1.0507364397,0.1885,0.01048199,1.8567731681e-08,6.0041359324,-0.002775675386,6.0,0.0,6.0333503978,-0.01914532841,6.0220108365,-0.01242763981,6.0399308303,-0.0228246051,6.0463197581,-0.02766052135,6.0471229022,-0.02751167665
9,20280234,1,ok,5.371831e-09,5.568606e-09,3.69701e-09,4.168922e-09,1.2447832211,1.0478508727,0.1884899,0.01039187,1.8567907772e-08,6.0041793206,-0.002743872978,6.0,0.0,6.0329840062,-0.01908683279,6.0219430216,-0.01253569659,6.0401240071,-0.02285164289,6.0461646,-0.02762440913,6.045946054,-0.0274785185
10,20280235,1,ok,5.364879e-09,5.585773e-09,3.696983e-09,4.177708e-09,1.2437516149,1.0446619615,0.1886163,0.01057144,1.8567198886e-08,6.0042256446,-0.002760226594,6.0,0.0,6.0329794541,-0.01915020614,6.0219931316,-0.01255025999,6.0403491154,-0.02286959475,6.0465175767,-0.02758187952,6.0471156721,-0.02754144699
11,20280236,1,ok,5.368269e-09,5.561389e-09,3.696761e-09,4.163877e-09,1.2455594343,1.049089494,0.1875311,0.01038,1.8567777209e-08,6.0041594821,-0.002765498821,6.0,0.0,6.0329847485,-0.01906509332,6.0216555106,-0.01248865202,6.0400087611,-0.0227347628,6.046103204,-0.02764770567,6.0465117445,-0.02740086305
12,20280237,1,ok,5.378164e-09,5.561247e-09,3.702832e-09,4.164435e-09,1.2425123764,1.0489501122,0.1875768,0.008422203,1.8567221111e-08,6.0041057718,-0.002779433078,6.0,0.0,6.0329291704,-0.01907863073,6.0216381398,-0.01250646875,6.0403589787,-0.02282001993,6.0466657626,-0.02751916224,6.0467211323,-0.0276387357
13,20280238,1,ok,5.369647e-09,5.553564e-09,3.700332e-09,4.159661e-09,1.2451560679,1.0506833739,0.1879787,0.01038594,1.8567520214e-08,6.0041349407,-0.00276369453,6.0,0.0,6.0331408835,-0.01917399286,6.0218648787,-0.01255597752,6.0405565711,-0.02279059429,6.0461586364,-0.02767915059,6.0467347614,-0.02753131527
14,20280239,1,ok,5.356876e-09,5.5587e-09,3.688328e-09,4.163647e-09,1.2478730242,1.0485683846,0.1880241,0.009544271,1.8567880492e-08,6.0041220588,-0.002766511757,6.0,0.0,6.032561521,-0.01908976057,6.0212579581,-0.01243407164,6.0399444594,-0.02270198697,6.046157239,-0.02768240458,6.046217358,-0.02759492681
15,20280240,1,ok,5.366114e-09,5.551026e-09,3.697207e-09,4.153129e-09,1.2447658392,1.0514015278,0.1889322,0.01044376,1.8568367079e-08,6.0041281836,-0.002742355708,6.0,0.0,6.0332062773,-0.0190451521,6.0215453258,-0.01246078351,6.0401041103,-0.02274112892,6.0463160512,-0.02774479596,6.0465337778,-0.02727275514
16,20280241,1,ok,5.359027e-09,5.561081e-09,3.693366e-09,4.163911e-09,1.2472345078,1.0488005718,0.1875916,0.00832303,1.8567737262e-08,6.0040850947,-0.002772376191,6.0,0.0,6.0328709128,-0.01909996846,6.0215635937,-0.01247433623,6.0399470079,-0.02281991487,6.0462579979,-0.02773160165,6.0464870406,-0.02744193937
17,20280242,1,ok,5.371241e-09,5.553697e-09,3.700491e-09,4.157602e-09,1.244012652,1.0484247671,0.1879116,0.00869594,1.8567614828e-08,6.0040809011,-0.002782343366,6.0,0.0,6.0330271007,-0.01908956619,6.0215444352,-0.01249052995,6.0401293628,-0.02275292752,6.0464439851,-0.02762632758,6.0468484324,-0.02772490157
18,20280243,1,ok,5.363455e-09,5.542108e-09,3.698024e-09,4.151216e-09,1.2444191217,1.0492093148,0.1884756,0.007466789,1.8567811757e-08,6.0040380251,-0.002776751615,6.0,0.0,6.0333367861,-0.0191692277,6.0217821354,-0.01256586385,6.0401686713,-0.02272908017,6.0463824186,-0.02744944098,6.047230323,-0.02753124725
19,20280244,1,ok,5.3737e-09,5.532191e-09,3.699028e-09,4.149115e-09,1.2445834347,1.0548054588,0.1887497,0.01030748,1.8568223006e-08,6.0040851971,-0.002754652001,6.0,0.0,6.0332418578,-0.01920646555,6.0218507833,-0.01250108284,6.040062867,-0.02287224794,6.0464084517,-0.02765000874,6.0463509718,-0.02731904659
20,20280245,1,ok,5.363033e-09,5.553117e-09,3.694503e-09,4.159588e-09,1.2458788052,1.0508385706,0.1874708,0.0104905,1.8567492233e-08,6.004135116,-0.002784611979,6.0,0.0,6.0327411774,-0.01906000686,6.0216728808,-0.01252935693,6.040321538,-0.02284043156,6.0463959888,-0.02737123126,6.0465473025,-0.02764168203
