sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,ishoot_rise_a,ishoot_fall_a,energy_per_edge_j,vout_max_v,vout_min_v,vin_max_v,vin_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
8,20390233,1,ok,4.046442e-09,5.059251e-09,3.025107e-09,3.846275e-09,1.5872101627,1.0895877142,0.2115039,0.009622516,1.8556388488e-08,6.0051550632,-0.002770390218,6.0,0.0,6.0277965288,-0.0165266209,6.0240246328,-0.01087793628,6.0442058215,-0.02274169303,6.0518624546,-0.02788020426,6.0523707332,-0.0277718486
9,20390234,1,ok,4.043375e-09,5.054422e-09,3.025972e-09,3.841184e-09,1.5861372951,1.0923102241,0.2121984,0.01381376,1.8556069973e-08,6.0051421314,-0.002803185071,6.0,0.0,6.0276651263,-0.01646167914,6.0239776315,-0.01091302244,6.0445300769,-0.02271344035,6.051662193,-0.02800353978,6.0523028879,-0.02839531285
10,20390235,1,ok,4.062558e-09,5.059791e-09,3.034541e-09,3.844877e-09,1.5859000397,1.0909375125,0.2138981,0.01190604,1.8556170914e-08,6.0051531782,-0.002810717293,6.0,0.0,6.0278116454,-0.01651198279,6.0242500022,-0.010899175,6.0442594577,-0.0226656847,6.0517490674,-0.02796513337,6.0524717548,-0.02825245401
11,20390236,1,ok,4.055232e-09,5.05779e-09,3.032115e-09,3.840514e-09,1.5888490239,1.0860218431,0.2146849,0.004642001,1.8556539748e-08,6.0051143816,-0.002801830062,6.0,0.0,6.0276690719,-0.01648248928,6.0242070338,-0.01083839295,6.0443139214,-0.02268564431,6.0511577675,-0.02796726003,6.0520158124,-0.02815027879
12,20390237,1,ok,4.04417e-09,5.062856e-09,3.026863e-09,3.845154e-09,1.5894594355,1.0859757183,0.2128838,0.01324986,1.8555960105e-08,6.0051670659,-0.002788026793,6.0,0.0,6.0277747187,-0.0165248905,6.024113454,-0.0107778218,6.0443218794,-0.02261536522,6.0512863875,-0.02834205355,6.0526749065,-0.02847723615
13,20390238,1,ok,4.047694e-09,5.070046e-09,3.025139e-09,3.851291e-09,1.5869209844,1.0885943027,0.2120423,0.01211447,1.8556143413e-08,6.0051822036,-0.002768028038,6.0,0.0,6.0276669219,-0.01639343518,6.0237144154,-0.01089312368,6.0443488955,-0.02284151862,6.0517297943,-0.02799703292,6.0523119622,-0.02842601284
14,20390239,1,ok,4.057293e-09,5.056212e-09,3.030369e-09,3.842536e-09,1.5822794969,1.0926559549,0.2115974,0.01378647,1.8556110579e-08,6.0050864044,-0.002805932004,6.0,0.0,6.0277086474,-0.01633014649,6.0240041837,-0.01079326674,6.0443234389,-0.02261574828,6.0517635821,-0.02788289807,6.0521538948,-0.02825695583
15,20390240,1,ok,4.051785e-09,5.050921e-09,3.02809e-09,3.840393e-09,1.5838145177,1.0921426447,0.2121706,0.01427702,1.8556196049e-08,6.0051541493,-0.002791418153,6.0,0.0,6.0277851978,-0.01653538207,6.0239586707,-0.0107305693,6.0443483557,-0.0226213345,6.0516498497,-0.02806302046,6.0523970763,-0.02796115909
16,20390241,1,ok,4.054446e-09,5.062372e-09,3.031172e-09,3.844404e-09,1.5876565336,1.0876334855,0.2136817,0.007601725,1.8556083199e-08,6.0051560247,-0.002813872917,6.0,0.0,6.0277256136,-0.01643825497,6.0239780474,-0.01088865464,6.0447191303,-0.02264565294,6.0510926452,-0.02794196841,6.0523576107,-0.02821152943
17,20390242,1,ok,4.046206e-09,5.077775e-09,3.028764e-09,3.851146e-09,1.591878013,1.0820958796,0.2134545,0.0132638,1.8555740883e-08,6.0052098651,-0.002792964827,6.0,0.0,6.027678438,-0.01635068319,6.0238326991,-0.01079008313,6.0442658328,-0.02281442217,6.0512114542,-0.02815820937,6.0527702217,-0.02846702822
18,20390243,1,ok,4.052595e-09,5.062254e-09,3.026696e-09,3.845309e-09,1.5853085795,1.0884954858,0.2133369,0.009108832,1.855635329e-08,6.0051663878,-0.002786530205,6.0,0.0,6.0275645952,-0.01636969961,6.0241877138,-0.01080521721,6.0443025999,-0.02266456256,6.0513922256,-0.02800132059,6.0521451579,-0.02827790674
19,20390244,1,ok,4.053785e-09,5.07699e-09,3.029122e-09,3.856072e-09,1.5841457603,1.0847702331,0.2107315,0.007616149,1.8555670883e-08,6.0052019822,-0.002799541073,6.0,0.0,6.0277557051,-0.01647088395,6.024350216,-0.01090166154,6.0442314021,-0.02272395342,6.0517086795,-0.02796285956,6.0524250834,-0.02795600549
