sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,ishoot_rise_a,ishoot_fall_a,energy_per_edge_j,vout_max_v,vout_min_v,vin_max_v,vin_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
baseline,,unset (plain harness deck),ok,5.026455e-09,4.049466e-09,3.416259e-09,3.315719e-09,1.2656486887,1.3816598712,0.246333,0.009698917,1.8559192292e-08,6.0040411581,-0.003426960244,6.0,0.0,6.0286051433,-0.0141412069,6.0190791489,-0.01268706038,6.0400910341,-0.02387411593,6.0472705125,-0.02872222637,6.0479655297,-0.02902569078
0,20360225,0,ok,5.026455e-09,4.049466e-09,3.416259e-09,3.315719e-09,1.2656486887,1.3816598712,0.246333,0.009698917,1.8559192292e-08,6.0040411581,-0.003426960244,6.0,0.0,6.0286051433,-0.0141412069,6.0190791489,-0.01268706038,6.0400910341,-0.02387411593,6.0472705125,-0.02872222637,6.0479655297,-0.02902569078
0,25360225,0,ok,5.026455e-09,4.049466e-09,3.416259e-09,3.315719e-09,1.2656486887,1.3816598712,0.246333,0.009698917,1.8559192292e-08,6.0040411581,-0.003426960244,6.0,0.0,6.0286051433,-0.0141412069,6.0190791489,-0.01268706038,6.0400910341,-0.02387411593,6.0472705125,-0.02872222637,6.0479655297,-0.02902569078
1,20360226,1,ok,5.022358e-09,4.042187e-09,3.414317e-09,3.312005e-09,1.2711322731,1.382687452,0.2425818,0.007659929,1.8559253415e-08,6.0040183406,-0.00341279785,6.0,0.0,6.0280129014,-0.01418228654,6.0187013655,-0.01267692879,6.0400819755,-0.02387666947,6.0473090037,-0.02884577767,6.0476853057,-0.0289421499
2,20360227,1,ok,5.020071e-09,4.048969e-09,3.412934e-09,3.313056e-09,1.2682937283,1.3816207478,0.2457394,0.009208222,1.8559268276e-08,6.0040482334,-0.003407009013,6.0,0.0,6.0284678812,-0.01422241461,6.0179966608,-0.01263919995,6.039770784,-0.02372948286,6.0468176625,-0.02895218651,6.0480223056,-0.02903773534
3,20360228,1,ok,5.019066e-09,4.055046e-09,3.41201e-09,3.320475e-09,1.273062888,1.3768580005,0.2424227,0.004932886,1.8559150608e-08,6.0040673261,-0.003395933435,6.0,0.0,6.0283675891,-0.01420305141,6.0191183465,-0.01271643999,6.0402875302,-0.02392472351,6.0465002736,-0.0287426088,6.0474741292,-0.02934203455
4,20360229,1,ok,5.041015e-09,4.037909e-09,3.423652e-09,3.309749e-09,1.2632683381,1.3848409888,0.2454812,0.008004256,1.8559270149e-08,6.0039934243,-0.003433470015,6.0,0.0,6.0288206388,-0.01424642342,6.0186149404,-0.01281107896,6.0400281034,-0.0237844599,6.046379719,-0.02867223599,6.047814019,-0.02911088499
5,20360230,1,ok,5.023653e-09,4.046326e-09,3.415941e-09,3.313871e-09,1.2669679769,1.3819449022,0.2458467,0.007672214,1.8559336921e-08,6.0040348814,-0.00343220721,6.0,0.0,6.0288094413,-0.01425108516,6.0186263257,-0.01266935947,6.04020702,-0.02382723828,6.0472754698,-0.02876069083,6.0477019877,-0.02905202471
6,20360231,1,ok,5.023612e-09,4.05082e-09,3.413013e-09,3.319514e-09,1.2681117229,1.3815015514,0.2445107,0.01024523,1.8559233125e-08,6.0040478287,-0.003411956401,6.0,0.0,6.0285034543,-0.01421364884,6.0191448189,-0.01274229633,6.0396867591,-0.02373301707,6.0473791424,-0.02873169888,6.0478598611,-0.02898080274
7,20360232,1,ok,5.021119e-09,4.046558e-09,3.414179e-09,3.313134e-09,1.2686348284,1.3805804003,0.2448414,0.006516534,1.8559295654e-08,6.0040325605,-0.003409083383,6.0,0.0,6.0288953123,-0.01426130561,6.0184874119,-0.01272016693,6.0399511085,-0.02374259678,6.0461472912,-0.02870513194,6.0476268635,-0.02906796492
