sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,ishoot_rise_a,ishoot_fall_a,energy_per_edge_j,vout_max_v,vout_min_v,vin_max_v,vin_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
baseline,,unset (plain harness deck),ok,3.26209e-09,3.30087e-09,2.388813e-09,2.650411e-09,1.8934203201,1.6439623141,0.3215864,0.0150661,1.8547476716e-08,6.0039687272,-0.00272178475,6.0,0.0,6.0192968873,-0.01053127808,6.0125429534,-0.007259534562,6.030520907,-0.0173162807,6.0413246585,-0.02471651123,6.0429047245,-0.02533167418
0,20290225,0,ok,3.26209e-09,3.30087e-09,2.388813e-09,2.650411e-09,1.8934203201,1.6439623141,0.3215864,0.0150661,1.8547476716e-08,6.0039687272,-0.00272178475,6.0,0.0,6.0192968873,-0.01053127808,6.0125429534,-0.007259534562,6.030520907,-0.0173162807,6.0413246585,-0.02471651123,6.0429047245,-0.02533167418
0,25290225,0,ok,3.26209e-09,3.30087e-09,2.388813e-09,2.650411e-09,1.8934203201,1.6439623141,0.3215864,0.0150661,1.8547476716e-08,6.0039687272,-0.00272178475,6.0,0.0,6.0192968873,-0.01053127808,6.0125429534,-0.007259534562,6.030520907,-0.0173162807,6.0413246585,-0.02471651123,6.0429047245,-0.02533167418
1,20290226,1,ok,3.259965e-09,3.304131e-09,2.38892e-09,2.651875e-09,1.8918553867,1.6375801526,0.3192708,0.01328007,1.8547289427e-08,6.0039114508,-0.002727741,6.0,0.0,6.019264991,-0.01054484149,6.0125125354,-0.007278168809,6.0305668173,-0.01731717488,6.0411981146,-0.0248539633,6.0431772761,-0.02531538203
2,20290227,1,ok,3.258077e-09,3.301792e-09,2.386198e-09,2.650646e-09,1.895840627,1.6424595768,0.324069,0.01154024,1.8547601963e-08,6.003960733,-0.002739706974,6.0,0.0,6.019283384,-0.01050565273,6.0127201331,-0.007333567096,6.0303806879,-0.01718512191,6.0406708665,-0.02472510478,6.0427818525,-0.02507846417
3,20290228,1,ok,3.26682e-09,3.292992e-09,2.390108e-09,2.646678e-09,1.88197762,1.6513512468,0.3201648,0.01702965,1.8547644762e-08,6.0039116764,-0.002769201839,6.0,0.0,6.0192993621,-0.01043451154,6.0127697326,-0.007141684496,6.0304083947,-0.01730725248,6.0410322851,-0.02450782504,6.0427238903,-0.0251949631
4,20290229,1,ok,3.254953e-09,3.301966e-09,2.385126e-09,2.651117e-09,1.8895961193,1.6474481283,0.3205517,0.01722629,1.8547875031e-08,6.0039667473,-0.002721580287,6.0,0.0,6.0193311943,-0.01051432905,6.0128378275,-0.007355559323,6.0303607978,-0.01725834223,6.0407864964,-0.02459042869,6.0433013159,-0.02519931895
5,20290230,1,ok,3.255472e-09,3.297485e-09,2.385361e-09,2.649494e-09,1.887367411,1.6458245499,0.3199048,0.01161756,1.8547497068e-08,6.0039491225,-0.002766487193,6.0,0.0,6.0192801453,-0.01043457928,6.0129091162,-0.007223701544,6.0305516779,-0.01735910601,6.0411624961,-0.02480314327,6.042949109,-0.02512462369
6,20290231,1,ok,3.259042e-09,3.296847e-09,2.38664e-09,2.649003e-09,1.8869715585,1.6499725158,0.3201104,0.01777535,1.8547538219e-08,6.0039228324,-0.002751960479,6.0,0.0,6.0192970164,-0.01047534137,6.0127788345,-0.007228803547,6.0304249845,-0.01732292422,6.041308801,-0.02460693601,6.0434254843,-0.0252314032
7,20290232,1,ok,3.270674e-09,3.292515e-09,2.394046e-09,2.645933e-09,1.8795475048,1.6443355442,0.3186343,0.005364253,1.8547681301e-08,6.003863713,-0.002767582609,6.0,0.0,6.0193244709,-0.01054662276,6.0127684926,-0.007321499661,6.0308693462,-0.0172860593,6.0412951026,-0.02503887406,6.0428572834,-0.0248835059
