sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,ishoot_rise_a,ishoot_fall_a,energy_per_edge_j,vout_max_v,vout_min_v,vin_max_v,vin_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
baseline,,unset (plain harness deck),ok,4.5541e-09,4.867605e-09,3.112916e-09,3.578746e-09,1.4818178669,1.2132145813,0.2197274,0.009474032,1.8571940967e-08,6.0031892348,-0.002201111018,6.0,0.0,6.0250253571,-0.0151936703,6.0132095712,-0.008636366721,6.0266115502,-0.01534313191,6.0347787849,-0.02186477331,6.0358590269,-0.02227198204
0,20310225,0,ok,4.5541e-09,4.867605e-09,3.112916e-09,3.578746e-09,1.4818178669,1.2132145813,0.2197274,0.009474032,1.8571940967e-08,6.0031892348,-0.002201111018,6.0,0.0,6.0250253571,-0.0151936703,6.0132095712,-0.008636366721,6.0266115502,-0.01534313191,6.0347787849,-0.02186477331,6.0358590269,-0.02227198204
0,25310225,0,ok,4.5541e-09,4.867605e-09,3.112916e-09,3.578746e-09,1.4818178669,1.2132145813,0.2197274,0.009474032,1.8571940967e-08,6.0031892348,-0.002201111018,6.0,0.0,6.0250253571,-0.0151936703,6.0132095712,-0.008636366721,6.0266115502,-0.01534313191,6.0347787849,-0.02186477331,6.0358590269,-0.02227198204
1,20310226,1,ok,4.554657e-09,4.862087e-09,3.111707e-09,3.576891e-09,1.4817462988,1.2065321206,0.2195496,0.002393559,1.8571752227e-08,6.0032146603,-0.002213388203,6.0,0.0,6.0249461278,-0.01512911968,6.0131939486,-0.008704883041,6.0266183999,-0.01540008369,6.0346050043,-0.02192596909,6.0356110992,-0.02241787132
2,20310227,1,ok,4.541061e-09,4.863202e-09,3.104924e-09,3.576933e-09,1.4854253289,1.2138245507,0.2201227,0.009010722,1.857229225e-08,6.0031675019,-0.002195551819,6.0,0.0,6.0249182081,-0.01505645554,6.0131741857,-0.008655803785,6.0262474766,-0.01536526325,6.0352275466,-0.02198855878,6.0355439001,-0.02222789759
3,20310228,1,ok,4.555685e-09,4.874112e-09,3.114893e-09,3.57994e-09,1.4824241054,1.2109762954,0.2194237,0.008828234,1.857190049e-08,6.0032219828,-0.002216968133,6.0,0.0,6.024992526,-0.01514873444,6.0132255838,-0.008587930381,6.0263960075,-0.01532685122,6.0348213193,-0.02176878903,6.0360315196,-0.02216429981
4,20310229,1,ok,4.549161e-09,4.849197e-09,3.111056e-09,3.569603e-09,1.4843341094,1.2169912127,0.2197001,0.008616066,1.8572409455e-08,6.0031148911,-0.002208402709,6.0,0.0,6.0251046895,-0.01489497776,6.0132204134,-0.008649424408,6.0268315435,-0.01535735455,6.0350109473,-0.0220461553,6.0358333246,-0.02214725072
5,20310230,1,ok,4.546463e-09,4.86043e-09,3.112474e-09,3.573947e-09,1.4840668692,1.2174704941,0.2194512,0.01283321,1.857223239e-08,6.0032207165,-0.002194575138,6.0,0.0,6.0250915751,-0.01517041505,6.0133452298,-0.008646248989,6.0265389843,-0.01542316184,6.0352317415,-0.02171899851,6.0361776921,-0.02202060244
6,20310231,1,ok,4.558424e-09,4.867581e-09,3.115931e-09,3.57758e-09,1.4815429072,1.2153344273,0.2196062,0.01192471,1.8572009731e-08,6.0032431027,-0.002217871223,6.0,0.0,6.0250098063,-0.01517385998,6.0133042725,-0.008614084581,6.026441611,-0.01535543586,6.0346694711,-0.02175149139,6.0358510806,-0.02211508871
7,20310232,1,ok,4.549359e-09,4.873416e-09,3.114111e-09,3.57833e-09,1.4853644356,1.2141564999,0.2195736,0.01277525,1.8571908211e-08,6.0032644089,-0.00218638976,6.0,0.0,6.0250266819,-0.0150284896,6.0133621688,-0.00856261228,6.0260735322,-0.01540412242,6.0351457889,-0.02192991127,6.0358158926,-0.02232083181
8,20310233,1,ok,4.554811e-09,4.868659e-09,3.109699e-09,3.58193e-09,1.4811085232,1.2150656506,0.2201363,0.01254651,1.8571912818e-08,6.0032489364,-0.002203248873,6.0,0.0,6.0249620771,-0.01510616677,6.0132329382,-0.00861812351,6.0263836154,-0.01533433097,6.035333747,-0.02195981131,6.0358014838,-0.02228303137
9,20310234,1,ok,4.556145e-09,4.862912e-09,3.114146e-09,3.575636e-09,1.482357079,1.215085422,0.2198835,0.01031444,1.8572194137e-08,6.0031700601,-0.002214314134,6.0,0.0,6.0250290559,-0.01522256303,6.0132181754,-0.008607864492,6.0265320625,-0.01523956548,6.0351709499,-0.02171937768,6.0356337581,-0.02223406619
10,20310235,1,ok,4.553807e-09,4.861985e-09,3.110094e-09,3.576893e-09,1.481206692,1.2151142527,0.2199488,0.0106972,1.8571884968e-08,6.0032154272,-0.002205352482,6.0,0.0,6.0249237299,-0.01485304853,6.0133379972,-0.008692916125,6.0266023101,-0.01539837654,6.035424858,-0.02163988978,6.0361761065,-0.02200878133
11,20310236,1,ok,4.559411e-09,4.867939e-09,3.113716e-09,3.579216e-09,1.4797369727,1.2113365332,0.2199559,0.008529567,1.8572080421e-08,6.0032357343,-0.002206790833,6.0,0.0,6.0249841077,-0.01515830072,6.0131648859,-0.008578501826,6.0267385249,-0.01536364618,6.0351533979,-0.02179329146,6.0355136215,-0.02218723403
12,20310237,1,ok,4.557284e-09,4.868197e-09,3.114733e-09,3.579225e-09,1.4818284495,1.2153795873,0.2194327,0.01274473,1.8571798072e-08,6.0032509776,-0.002208218043,6.0,0.0,6.0250849251,-0.01523311055,6.0131829994,-0.008644767543,6.0264907979,-0.01547558962,6.0346686929,-0.02187705406,6.0359080223,-0.02222276416
13,20310238,1,ok,4.553512e-09,4.8728e-09,3.113875e-09,3.581587e-09,1.4824797954,1.2112189973,0.2203567,0.00935189,1.857196922e-08,6.0032493995,-0.002191620971,6.0,0.0,6.0250289075,-0.01492948979,6.0135718768,-0.008644212452,6.0267919885,-0.01564463819,6.0349271108,-0.02177742874,6.0352661123,-0.02228149609
14,20310239,1,ok,4.546332e-09,4.862232e-09,3.109183e-09,3.576792e-09,1.4859694663,1.2098435583,0.2198642,0.005766026,1.8572096855e-08,6.0032116678,-0.002190614825,6.0,0.0,6.0250664838,-0.0152341115,6.0131918191,-0.008661915458,6.026574627,-0.01541834819,6.0350082814,-0.02162055632,6.0357786107,-0.02237225661
15,20310240,1,ok,4.539253e-09,4.865829e-09,3.105929e-09,3.576505e-09,1.4881858357,1.2159258635,0.2198149,0.01272644,1.8572114195e-08,6.003243299,-0.002187914498,6.0,0.0,6.0250546553,-0.0150595568,6.0131900054,-0.008644690708,6.0265863344,-0.01530683381,6.0342654886,-0.02168934376,6.0359343336,-0.02224385954
16,20310241,1,ok,4.564677e-09,4.873881e-09,3.117834e-09,3.581956e-09,1.4796523234,1.2117272689,0.2192763,0.009570551,1.8571785984e-08,6.0032135218,-0.002202500866,6.0,0.0,6.0250229246,-0.01514379489,6.0132560804,-0.008622075554,6.026633626,-0.01528542194,6.0350182345,-0.02173639657,6.0360260888,-0.02228488573
17,20310242,1,ok,4.543328e-09,4.875228e-09,3.107157e-09,3.582361e-09,1.4867725303,1.2107849781,0.2195664,0.009764064,1.8572062702e-08,6.0032652254,-0.00218866455,6.0,0.0,6.0250339272,-0.01519618309,6.013163815,-0.008592868614,6.0265048852,-0.01532106755,6.0348244868,-0.02176748552,6.0360178349,-0.02214316507
18,20310243,1,ok,4.545537e-09,4.86193e-09,3.109387e-09,3.57528e-09,1.4861209157,1.2168127209,0.2197845,0.01260574,1.8572240133e-08,6.0032255969,-0.002191788715,6.0,0.0,6.0250406861,-0.01516739297,6.01322894,-0.008628315337,6.0266607198,-0.01522666036,6.0350354211,-0.02162858424,6.0358085321,-0.02222124015
19,20310244,1,ok,4.543226e-09,4.872898e-09,3.109436e-09,3.581138e-09,1.4864882867,1.2126177632,0.2192828,0.01027902,1.8571969331e-08,6.0032169462,-0.002187041577,6.0,0.0,6.0250356363,-0.01511530638,6.013336179,-0.008582200135,6.0265436746,-0.01534774005,6.0350098858,-0.02167917938,6.0362232274,-0.02219016203
20,20310245,1,ok,4.555905e-09,4.86545e-09,3.114207e-09,3.577761e-09,1.4816600468,1.2136287721,0.2204086,0.01033979,1.8572083635e-08,6.0032360743,-0.002191679299,6.0,0.0,6.0250947271,-0.01519602749,6.0132631103,-0.008605919381,6.0264230855,-0.01539341655,6.0351190659,-0.02196813657,6.0355861697,-0.02227959095
