sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,ishoot_rise_a,ishoot_fall_a,energy_per_edge_j,vout_max_v,vout_min_v,vin_max_v,vin_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
baseline,,unset (plain harness deck),ok,3.766827e-09,3.846974e-09,2.786432e-09,3.121846e-09,1.6219916963,1.3888218159,0.27016,0.01537023,1.8545531899e-08,6.004794973,-0.003237783101,6.0,0.0,6.0247735952,-0.01203046088,6.0196280196,-0.01094402489,6.0418902719,-0.02301414828,6.050662935,-0.02860069537,6.0516560189,-0.0288598535
0,20260225,0,ok,3.766827e-09,3.846974e-09,2.786432e-09,3.121846e-09,1.6219916963,1.3888218159,0.27016,0.01537023,1.8545531899e-08,6.004794973,-0.003237783101,6.0,0.0,6.0247735952,-0.01203046088,6.0196280196,-0.01094402489,6.0418902719,-0.02301414828,6.050662935,-0.02860069537,6.0516560189,-0.0288598535
0,25260225,0,ok,3.766827e-09,3.846974e-09,2.786432e-09,3.121846e-09,1.6219916963,1.3888218159,0.27016,0.01537023,1.8545531899e-08,6.004794973,-0.003237783101,6.0,0.0,6.0247735952,-0.01203046088,6.0196280196,-0.01094402489,6.0418902719,-0.02301414828,6.050662935,-0.02860069537,6.0516560189,-0.0288598535
1,20260226,1,ok,3.757747e-09,3.850691e-09,2.779019e-09,3.12592e-09,1.6275762016,1.3830307774,0.2699056,0.01101145,1.8545971657e-08,6.0048270027,-0.003228732652,6.0,0.0,6.0247459218,-0.01201049056,6.0196453755,-0.01090863781,6.0422119079,-0.02301656091,6.0513917562,-0.02898553151,6.0510059817,-0.02880031063
2,20260227,1,ok,3.769141e-09,3.847112e-09,2.786131e-09,3.121603e-09,1.6213866296,1.3967582029,0.2700622,0.01698034,1.8545527913e-08,6.0047940869,-0.003248150793,6.0,0.0,6.0245462935,-0.01197647378,6.0194820936,-0.01083976199,6.0421493206,-0.0230148857,6.0506199384,-0.02871013401,6.0514655242,-0.02887744572
3,20260228,1,ok,3.762655e-09,3.85714e-09,2.783332e-09,3.127777e-09,1.626377079,1.3911208378,0.2691362,0.01910561,1.8545532137e-08,6.0048895612,-0.003267494766,6.0,0.0,6.0246766314,-0.01200293965,6.0193854223,-0.01089885541,6.0419157763,-0.02294624521,6.0509963827,-0.02860220433,6.0516104832,-0.02880106041
4,20260229,1,ok,3.766906e-09,3.846826e-09,2.787083e-09,3.123225e-09,1.6256779005,1.3955907856,0.2660263,0.01241797,1.8545305955e-08,6.0047936839,-0.003275781953,6.0,0.0,6.0248181457,-0.01202090983,6.0196170221,-0.01091763349,6.0420630291,-0.02305475156,6.050491931,-0.02892590559,6.0517724528,-0.02898419287
5,20260230,1,ok,3.759668e-09,3.85021e-09,2.783613e-09,3.122675e-09,1.6253604385,1.3958447604,0.2701374,0.01722832,1.8545701869e-08,6.0047825104,-0.003231865906,6.0,0.0,6.0248303661,-0.0120395882,6.0197006451,-0.0110931067,6.0416172102,-0.02298827307,6.0499714889,-0.02861099602,6.0513832026,-0.02896923423
6,20260231,1,ok,3.757068e-09,3.846135e-09,2.782909e-09,3.121444e-09,1.6273552507,1.3866929503,0.2694608,0.01322305,1.8545586142e-08,6.0048110278,-0.003288724635,6.0,0.0,6.024775496,-0.01193011318,6.0202103152,-0.0109022915,6.0420461428,-0.02301831179,6.0507329295,-0.0290291209,6.0514115899,-0.02884005034
7,20260232,1,ok,3.761194e-09,3.862179e-09,2.784311e-09,3.129762e-09,1.6249778516,1.3781744246,0.2695751,0.00997736,1.8545218825e-08,6.0048932244,-0.003228993889,6.0,0.0,6.0247547782,-0.0120348955,6.0194543663,-0.01089957068,6.0418225641,-0.02287512914,6.0509534169,-0.0285670086,6.0518943354,-0.02897914137
8,20260233,1,ok,3.776379e-09,3.844053e-09,2.791586e-09,3.119846e-09,1.6180847472,1.3930297713,0.2708634,0.004904663,1.8545285803e-08,6.0048228532,-0.003259297408,6.0,0.0,6.0247575371,-0.01202168853,6.0195537419,-0.01092485994,6.0419659338,-0.02289811123,6.0508249553,-0.02867519621,6.0514341134,-0.02895506883
9,20260234,1,ok,3.780907e-09,3.857003e-09,2.791091e-09,3.128796e-09,1.6165431409,1.3818792799,0.2707761,0.01226483,1.8545341081e-08,6.0048426752,-0.003253317429,6.0,0.0,6.0246338206,-0.01198347489,6.0194264769,-0.01098123899,6.0421837423,-0.0230058245,6.050846913,-0.02867586138,6.0511459151,-0.02882929573
10,20260235,1,ok,3.764464e-09,3.853597e-09,2.783103e-09,3.124678e-09,1.6249924103,1.3887326282,0.2684838,0.01718995,1.8545886515e-08,6.0048158031,-0.003272988084,6.0,0.0,6.0246330523,-0.01190390449,6.0203384444,-0.01102005146,6.0417339386,-0.02300296689,6.0499137303,-0.02841897753,6.0508483631,-0.02872467809
11,20260236,1,ok,3.769236e-09,3.850967e-09,2.785727e-09,3.124935e-09,1.6253304008,1.3840336734,0.2685922,0.01222245,1.854557691e-08,6.0048116554,-0.003259602248,6.0,0.0,6.0247206148,-0.01199722882,6.0195370373,-0.01101194836,6.0422585564,-0.02311803331,6.0501789335,-0.0288365351,6.0514526204,-0.02895655594
12,20260237,1,ok,3.752332e-09,3.853057e-09,2.779559e-09,3.122662e-09,1.6291987276,1.3944144882,0.2696653,0.01873859,1.8545859083e-08,6.0048150016,-0.003217345695,6.0,0.0,6.024618902,-0.01202965318,6.0195484954,-0.01093305572,6.0418906801,-0.02306223334,6.0506353352,-0.02876255272,6.0512726588,-0.02885606305
13,20260238,1,ok,3.759295e-09,3.849405e-09,2.78239e-09,3.123008e-09,1.6263983439,1.3958346679,0.2695624,0.01843614,1.8545967257e-08,6.0048082056,-0.003231047428,6.0,0.0,6.024751701,-0.01202887438,6.0197303583,-0.01095671328,6.0418859579,-0.02306497518,6.0503319188,-0.02897529609,6.0512865314,-0.02885529661
14,20260239,1,ok,3.771237e-09,3.832134e-09,2.785747e-09,3.11286e-09,1.6203461969,1.4014883649,0.2710691,0.01910682,1.8545872437e-08,6.0047324479,-0.003253536137,6.0,0.0,6.0244502184,-0.01194844349,6.0196217324,-0.01079664939,6.0423165299,-0.02305938872,6.050178646,-0.02837056089,6.0510472358,-0.02887009121
