sample,seed,sw_stat_mismatch,status,trise_s,tfall_s,tpdlh_s,tpdhl_s,ipeak_source_a,ipeak_sink_a,ishoot_rise_a,ishoot_fall_a,energy_per_edge_j,vout_max_v,vout_min_v,vin_max_v,vin_min_v,n1_max_v,n1_min_v,n2_max_v,n2_min_v,n3_max_v,n3_min_v,n4_max_v,n4_min_v,n5_max_v,n5_min_v
baseline,,unset (plain harness deck),ok,5.378711e-09,5.345834e-09,3.877853e-09,4.287835e-09,1.1792682938,1.0172043253,0.1909443,0.006267276,1.8563681863e-08,6.0055239068,-0.003722301347,6.0,0.0,6.0354453082,-0.01867012074,6.0328005832,-0.01743792804,6.0550221768,-0.02913818913,6.0597643075,-0.03231148017,6.0595308458,-0.03258618249
0,20330225,0,ok,5.378711e-09,5.345834e-09,3.877853e-09,4.287835e-09,1.1792682938,1.0172043253,0.1909443,0.006267276,1.8563681863e-08,6.0055239068,-0.003722301347,6.0,0.0,6.0354453082,-0.01867012074,6.0328005832,-0.01743792804,6.0550221768,-0.02913818913,6.0597643075,-0.03231148017,6.0595308458,-0.03258618249
0,25330225,0,ok,5.378711e-09,5.345834e-09,3.877853e-09,4.287835e-09,1.1792682938,1.0172043253,0.1909443,0.006267276,1.8563681863e-08,6.0055239068,-0.003722301347,6.0,0.0,6.0354453082,-0.01867012074,6.0328005832,-0.01743792804,6.0550221768,-0.02913818913,6.0597643075,-0.03231148017,6.0595308458,-0.03258618249
1,20330226,1,ok,5.363064e-09,5.354007e-09,3.868783e-09,4.292791e-09,1.1823061082,1.0137548828,0.1916327,0.0002353319,1.8563982625e-08,6.0055270504,-0.003716325493,6.0,0.0,6.0353032256,-0.01867803644,6.0332686652,-0.01732802339,6.0550841183,-0.02916340548,6.0599416137,-0.03233573672,6.0593684103,-0.03247127668
2,20330227,1,ok,5.376893e-09,5.339297e-09,3.880383e-09,4.281269e-09,1.1809057308,1.0258440685,0.1889328,0.009245151,1.8563710169e-08,6.005567029,-0.003719838723,6.0,0.0,6.035763418,-0.01871874769,6.0334616746,-0.01743268141,6.0550570168,-0.02892263368,6.0593528419,-0.03231286421,6.0598658672,-0.03265731791
3,20330228,1,ok,5.382217e-09,5.341296e-09,3.879969e-09,4.285602e-09,1.1783434475,1.0243888749,0.1912373,0.01397883,1.8563813208e-08,6.0055532794,-0.003718313126,6.0,0.0,6.0354198686,-0.01857212955,6.033319887,-0.01752652759,6.0550117852,-0.0288670302,6.0598385037,-0.03231308351,6.0596524648,-0.03263117432
4,20330229,1,ok,5.363604e-09,5.34723e-09,3.872175e-09,4.287506e-09,1.1829568343,1.0230462901,0.1906852,0.01341118,1.8563708706e-08,6.0055817967,-0.003710822786,6.0,0.0,6.0355706182,-0.01852920367,6.0329881478,-0.01745506206,6.0549271171,-0.0288426976,6.0595187684,-0.03231040607,6.0597747134,-0.03268641188
5,20330230,1,ok,5.395809e-09,5.34531e-09,3.885051e-09,4.28856e-09,1.1745854208,1.0240000276,0.1918198,0.01336963,1.8563537606e-08,6.0055820327,-0.003754322878,6.0,0.0,6.0352928916,-0.01865914773,6.0331415784,-0.01749626778,6.0549324408,-0.02916517898,6.0600166042,-0.03244420512,6.0594106565,-0.03249732405
6,20330231,1,ok,5.375736e-09,5.357459e-09,3.876813e-09,4.295106e-09,1.1800119569,1.0126824675,0.1906776,0.000523992,1.8563546516e-08,6.0055554217,-0.003728505187,6.0,0.0,6.035446396,-0.01869753626,6.0329690295,-0.01737051481,6.0551923316,-0.02915509329,6.0594198344,-0.03234196707,6.0593807438,-0.03267680218
7,20330232,1,ok,5.382104e-09,5.349262e-09,3.880588e-09,4.28785e-09,1.1783026121,1.0228136248,0.1909271,0.01338059,1.856363463e-08,6.0055917814,-0.003732052087,6.0,0.0,6.0352239042,-0.01864387027,6.0327216037,-0.01743862274,6.0551064569,-0.02911054805,6.0598329149,-0.03229228617,6.0595916174,-0.03253542451
