sample,seed,sw_stat_mismatch,status,vgate_thinox_max,vna_peak,vnb_peak,vccomp_dev_max,vccomp_stack_max,t_plh_ns,t_phl_ns,vout_hi_ratio,vout_lo_ratio,vinb_max_v
baseline,,unset (plain harness deck),ok,3.653789,2.578528,2.557803,1.324738,5.298952,0.6207602,0.2861763,0.99999963636,1.0481018182e-07,3.653789
0,20260304,0,ok,3.653789,2.578528,2.557803,1.324738,5.298952,0.6207602,0.2861763,0.99999963636,1.0481018182e-07,3.653789
0,25260304,0,ok,3.653789,2.578528,2.557803,1.324738,5.298952,0.6207602,0.2861763,0.99999963636,1.0481018182e-07,3.653789
1,20260305,1,ok,3.653825,2.57105,2.557526,1.324332,5.297328,0.6203301,0.286438,0.99999963636,1.0462356364e-07,3.653825
2,20260306,1,ok,3.653624,2.580105,2.55234,1.324222,5.296888,0.6217159,0.2848941,0.99999963636,1.0469678182e-07,3.653624
3,20260307,1,ok,3.653621,2.579153,2.557805,1.324431,5.297723,0.6245312,0.2852957,0.99999963636,1.0484332727e-07,3.653621
4,20260308,1,ok,3.653807,2.580202,2.559072,1.324856,5.299426,0.6209064,0.2856763,0.99999963636,1.0490269091e-07,3.653807
5,20260309,1,ok,3.653784,2.578357,2.556796,1.324551,5.298204,0.6188712,0.2866104,0.99999963636,1.0477550909e-07,3.653784
6,20260310,1,ok,3.653841,2.579822,2.55922,1.323679,5.294714,0.621015,0.2859935,0.99999963636,1.0480350909e-07,3.653841
7,20260311,1,ok,3.653771,2.576946,2.561792,1.324171,5.296683,0.6202299,0.28577,0.99999963636,1.0461710909e-07,3.653771
8,20260312,1,ok,3.653887,2.580552,2.552936,1.324643,5.298573,0.6202001,0.2861155,0.99999963636,1.0491625455e-07,3.653887
9,20260313,1,ok,3.653617,2.576089,2.554875,1.324956,5.299822,0.6249157,0.2845971,0.99999963636,1.0470063636e-07,3.653617
10,20260314,1,ok,3.653832,2.576183,2.558624,1.325283,5.301134,0.621071,0.2879024,0.99999963636,1.0476361818e-07,3.653832
11,20260315,1,ok,3.653733,2.581159,2.560298,1.323967,5.295869,0.6181474,0.2861343,0.99999963636,1.0475369091e-07,3.653733
12,20260316,1,ok,3.653773,2.577202,2.558652,1.324424,5.297694,0.6194589,0.2863702,0.99999963636,1.0495163636e-07,3.653773
13,20260317,1,ok,3.653845,2.578205,2.556629,1.324825,5.299302,0.6195097,0.2887539,0.99999963636,1.0499703636e-07,3.653845
14,20260318,1,ok,3.653845,2.580168,2.561374,1.325697,5.302787,0.6252415,0.2865813,0.99999963636,1.0506534545e-07,3.653845
15,20260319,1,ok,3.65375,2.575312,2.557566,1.324829,5.299318,0.616765,0.2879402,0.99999963636,1.0482783636e-07,3.65375
16,20260320,1,ok,3.653795,2.575458,2.558914,1.324528,5.298113,0.6187003,0.2861087,0.99999963636,1.0486334545e-07,3.653795
17,20260321,1,ok,3.653728,2.577674,2.560061,1.324628,5.298513,0.6220413,0.2856725,0.99999963636,1.0476981818e-07,3.653728
18,20260322,1,ok,3.653657,2.576364,2.55817,1.324615,5.298461,0.621432,0.2856404,0.99999963636,1.0473761818e-07,3.653657
19,20260323,1,ok,3.653598,2.578022,2.560896,1.323679,5.294716,0.6224581,0.2848283,0.99999963636,1.0480787273e-07,3.653598
20,20260324,1,ok,3.653806,2.578626,2.554496,1.323977,5.295907,0.6194079,0.2869389,0.99999963636,1.0460918182e-07,3.653806
21,20260325,1,ok,3.65393,2.576469,2.554663,1.324361,5.297442,0.6192332,0.2859568,0.99999963636,1.0483629091e-07,3.65393
22,20260326,1,ok,3.653883,2.57129,2.554469,1.32421,5.29684,0.6193431,0.2858932,0.99999963636,1.0471276364e-07,3.653883
23,20260327,1,ok,3.653891,2.578629,2.559672,1.323392,5.293567,0.6175711,0.2870137,0.99999963636,1.0477850909e-07,3.653891
24,20260328,1,ok,3.653717,2.582218,2.549627,1.324521,5.298082,0.6178212,0.287333,0.99999963636,1.0484603636e-07,3.653717
25,20260329,1,ok,3.653734,2.58444,2.558687,1.324831,5.299324,0.6187619,0.2872365,0.99999963636,1.0500390909e-07,3.653734
26,20260330,1,ok,3.653948,2.581763,2.562722,1.324859,5.299434,0.6236354,0.2851341,0.99999963636,1.0480741818e-07,3.653948
27,20260331,1,ok,3.653749,2.579042,2.557212,1.324513,5.298051,0.6197482,0.2874721,0.99999963636,1.0477218182e-07,3.653749
28,20260332,1,ok,3.653771,2.581084,2.5552,1.324939,5.299755,0.6185841,0.286256,0.99999963636,1.0495676364e-07,3.653771
29,20260333,1,ok,3.653732,2.577695,2.554608,1.324674,5.298698,0.6224583,0.2858846,0.99999963636,1.0466516364e-07,3.653732
30,20260334,1,ok,3.653795,2.580607,2.551089,1.323724,5.294897,0.6218152,0.2861545,0.99999963636,1.0487367273e-07,3.653795
31,20260335,1,ok,3.653741,2.577858,2.555146,1.324914,5.299656,0.6244447,0.2865565,0.99999963636,1.0468930909e-07,3.653741
32,20260336,1,ok,3.65369,2.575203,2.558697,1.324601,5.298404,0.622705,0.2856472,0.99999963636,1.0492883636e-07,3.65369
33,20260337,1,ok,3.653801,2.582895,2.561795,1.325212,5.300849,0.6219674,0.2866861,0.99999963636,1.0491718182e-07,3.653801
34,20260338,1,ok,3.653776,2.576636,2.554519,1.323468,5.293872,0.6168482,0.2864144,0.99999963636,1.0456241818e-07,3.653776
35,20260339,1,ok,3.653766,2.57938,2.556816,1.324253,5.297012,0.619291,0.28669,0.99999963636,1.047932e-07,3.653766
36,20260340,1,ok,3.653817,2.579049,2.557168,1.324503,5.298013,0.621301,0.2863661,0.99999963636,1.0479281818e-07,3.653817
37,20260341,1,ok,3.653847,2.575738,2.555822,1.32464,5.298561,0.6207738,0.2855839,0.99999963636,1.0487910909e-07,3.653847
38,20260342,1,ok,3.653741,2.576743,2.553995,1.324712,5.298849,0.6204523,0.2866763,0.99999963636,1.0490378182e-07,3.653741
39,20260343,1,ok,3.653776,2.580444,2.560854,1.323606,5.294422,0.6222943,0.2855238,0.99999963636,1.0463129091e-07,3.653776
40,20260344,1,ok,3.65372,2.577338,2.554358,1.32431,5.29724,0.6167244,0.2868626,0.99999963636,1.0489458182e-07,3.65372
41,20260345,1,ok,3.653648,2.584355,2.561471,1.322815,5.29126,0.6218617,0.2856768,0.99999963636,1.0493587273e-07,3.653648
42,20260346,1,ok,3.653712,2.575906,2.560939,1.324612,5.298448,0.6189719,0.2858555,0.99999963636,1.0503025455e-07,3.653712
43,20260347,1,ok,3.653874,2.579542,2.556999,1.324494,5.297974,0.6201087,0.2854536,0.99999963636,1.0479156364e-07,3.653874
44,20260348,1,ok,3.653568,2.577894,2.557156,1.323341,5.293366,0.6202479,0.2854597,0.99999963636,1.0476165455e-07,3.653568
45,20260349,1,ok,3.653716,2.578388,2.555381,1.324675,5.2987,0.6217164,0.2859432,0.99999963636,1.0477490909e-07,3.653716
46,20260350,1,ok,3.653722,2.581661,2.55816,1.323397,5.293587,0.6216353,0.2863179,0.99999963636,1.0478196364e-07,3.653722
47,20260351,1,ok,3.653737,2.575878,2.566779,1.324374,5.297497,0.6218344,0.2859723,0.99999963636,1.0471149091e-07,3.653737
48,20260352,1,ok,3.653617,2.582085,2.563027,1.32483,5.299319,0.6196236,0.2856577,0.99999963636,1.049294e-07,3.653617
49,20260353,1,ok,3.653863,2.578757,2.558313,1.323705,5.294822,0.620803,0.2868588,0.99999963636,1.0487758182e-07,3.653863
50,20260354,1,ok,3.653652,2.583025,2.557874,1.324469,5.297874,0.6197086,0.2854369,0.99999963636,1.0478894545e-07,3.653652
51,20260355,1,ok,3.653702,2.573916,2.555704,1.324267,5.297067,0.6221152,0.2867604,0.99999963636,1.0450403636e-07,3.653702
52,20260356,1,ok,3.653741,2.579654,2.560274,1.323856,5.295423,0.6200456,0.2858601,0.99999963636,1.0453334545e-07,3.653741
53,20260357,1,ok,3.653764,2.579919,2.56522,1.324759,5.299035,0.6248489,0.2855056,0.99999963636,1.0481494545e-07,3.653764
54,20260358,1,ok,3.654026,2.577807,2.554663,1.32404,5.296162,0.6185671,0.2855235,0.99999963636,1.0486649091e-07,3.654026
55,20260359,1,ok,3.653769,2.578356,2.557174,1.324781,5.299125,0.6219556,0.2862207,0.99999963636,1.0482294545e-07,3.653769
56,20260360,1,ok,3.653711,2.576936,2.558042,1.324662,5.298648,0.6192498,0.2869131,0.99999963636,1.0470603636e-07,3.653711
57,20260361,1,ok,3.653602,2.579056,2.558222,1.3226,5.2904,0.6195041,0.2864393,0.99999963636,1.0468e-07,3.653602
58,20260362,1,ok,3.653735,2.577534,2.553396,1.324192,5.296769,0.620215,0.2854925,0.99999963636,1.0484681818e-07,3.653735
