sample,seed,sw_stat_mismatch,status,vgate_thinox_max,vna_peak,vnb_peak,vccomp_dev_max,vccomp_stack_max,t_plh_ns,t_phl_ns,vout_hi_ratio,vout_lo_ratio,vinb_max_v
baseline,,unset (plain harness deck),ok,3.659957,2.736071,2.684815,1.293443,5.17377,0.8538956,0.3802148,0.99999945455,1.9406163636e-07,3.659957
0,20280304,0,ok,3.659957,2.736071,2.684815,1.293443,5.17377,0.8538956,0.3802148,0.99999945455,1.9406163636e-07,3.659957
0,25280304,0,ok,3.659957,2.736071,2.684815,1.293443,5.17377,0.8538956,0.3802148,0.99999945455,1.9406163636e-07,3.659957
1,20280305,1,ok,3.660321,2.731795,2.682271,1.294175,5.176701,0.8573425,0.3808075,0.99999945455,1.9404709091e-07,3.660321
2,20280306,1,ok,3.659997,2.737128,2.684293,1.292344,5.169374,0.852177,0.3816932,0.99999945455,1.93962e-07,3.659997
3,20280307,1,ok,3.659618,2.738495,2.684422,1.293521,5.174084,0.854315,0.3812971,0.99999945455,1.9393509091e-07,3.659618
4,20280308,1,ok,3.659408,2.734252,2.681419,1.290548,5.162191,0.8580752,0.3783746,0.99999945455,1.9409618182e-07,3.659408
5,20280309,1,ok,3.66037,2.738367,2.682249,1.293623,5.17449,0.8520666,0.3799454,0.99999945455,1.9454290909e-07,3.66037
6,20280310,1,ok,3.659689,2.73766,2.68609,1.292928,5.171713,0.8550638,0.37913,0.99999945455,1.94058e-07,3.659689
7,20280311,1,ok,3.66016,2.733012,2.686243,1.293477,5.173906,0.8517903,0.3807735,0.99999945455,1.9405490909e-07,3.66016
8,20280312,1,ok,3.659857,2.733367,2.682996,1.293862,5.175449,0.8552452,0.3805796,0.99999945455,1.9411418182e-07,3.659857
9,20280313,1,ok,3.660241,2.736404,2.686527,1.294269,5.177075,0.8572427,0.3806251,0.99999945455,1.9441563636e-07,3.660241
10,20280314,1,ok,3.659933,2.733104,2.684117,1.293065,5.17226,0.8526607,0.3815665,0.99999945455,1.9376945455e-07,3.659933
11,20280315,1,ok,3.660192,2.73987,2.685912,1.293356,5.173422,0.8568416,0.3809385,0.99999945455,1.9431418182e-07,3.660192
12,20280316,1,ok,3.659811,2.737879,2.687408,1.291637,5.166547,0.8517049,0.381472,0.99999945455,1.9442454545e-07,3.659811
13,20280317,1,ok,3.659879,2.736863,2.684004,1.293172,5.172689,0.8527864,0.380583,0.99999945455,1.9406218182e-07,3.659879
14,20280318,1,ok,3.659939,2.734334,2.681586,1.293888,5.175551,0.8502668,0.381607,0.99999945455,1.9404909091e-07,3.659939
15,20280319,1,ok,3.659768,2.739567,2.687399,1.291533,5.166134,0.8561275,0.379154,0.99999945455,1.9375381818e-07,3.659768
16,20280320,1,ok,3.659589,2.73575,2.685348,1.29345,5.173799,0.8556804,0.3794248,0.99999945455,1.9389545455e-07,3.659589
17,20280321,1,ok,3.660334,2.733861,2.682211,1.294185,5.176741,0.8613255,0.3806093,0.99999945455,1.9415818182e-07,3.660334
18,20280322,1,ok,3.659394,2.732575,2.685091,1.292535,5.17014,0.8526521,0.3812369,0.99999945455,1.9374363636e-07,3.659394
19,20280323,1,ok,3.65963,2.733144,2.679781,1.292534,5.170136,0.8560247,0.3791816,0.99999945455,1.9390527273e-07,3.65963
20,20280324,1,ok,3.659153,2.735096,2.687535,1.292401,5.169604,0.8501678,0.3805532,0.99999945455,1.9376218182e-07,3.659153
21,20280325,1,ok,3.659995,2.736006,2.685024,1.293383,5.17353,0.8543909,0.3802454,0.99999945455,1.9412781818e-07,3.659995
22,20280326,1,ok,3.659557,2.73395,2.685202,1.29328,5.173119,0.8576407,0.3797522,0.99999945455,1.9431418182e-07,3.659557
23,20280327,1,ok,3.660257,2.732331,2.689621,1.29376,5.17504,0.8550465,0.3805614,0.99999945455,1.9411690909e-07,3.660257
24,20280328,1,ok,3.659948,2.734708,2.682532,1.293011,5.172044,0.8531834,0.3797247,0.99999945455,1.9407472727e-07,3.659948
25,20280329,1,ok,3.660058,2.737286,2.683346,1.293059,5.172237,0.8503681,0.3806646,0.99999945455,1.9370163636e-07,3.660058
26,20280330,1,ok,3.659838,2.734775,2.681629,1.291384,5.165536,0.8544103,0.3815088,0.99999945455,1.9369909091e-07,3.659838
27,20280331,1,ok,3.659929,2.736433,2.687753,1.292966,5.171865,0.8521776,0.3811433,0.99999945455,1.9437036364e-07,3.659929
28,20280332,1,ok,3.659335,2.742259,2.680549,1.292229,5.168917,0.8527895,0.3821327,0.99999945455,1.9406636364e-07,3.659335
29,20280333,1,ok,3.660287,2.736144,2.684594,1.293844,5.175375,0.8554753,0.3797983,0.99999945455,1.9438872727e-07,3.660287
30,20280334,1,ok,3.659835,2.736619,2.684158,1.29131,5.165239,0.8497106,0.381017,0.99999945455,1.9416e-07,3.659835
31,20280335,1,ok,3.659991,2.733371,2.680229,1.293344,5.173378,0.857668,0.3795649,0.99999945455,1.9378727273e-07,3.659991
32,20280336,1,ok,3.659268,2.737808,2.679871,1.2929,5.171598,0.8529684,0.3818959,0.99999945455,1.9415781818e-07,3.659268
33,20280337,1,ok,3.660011,2.737944,2.682295,1.29313,5.172518,0.8532218,0.3797226,0.99999945455,1.93956e-07,3.660011
34,20280338,1,ok,3.660039,2.734962,2.681849,1.290922,5.163688,0.8526296,0.3804347,0.99999945455,1.9393163636e-07,3.660039
35,20280339,1,ok,3.659525,2.733457,2.685517,1.293343,5.173372,0.8566085,0.3795276,0.99999945455,1.9384454545e-07,3.659525
36,20280340,1,ok,3.659498,2.736877,2.68188,1.293329,5.173317,0.8507543,0.3815864,0.99999945455,1.9436127273e-07,3.659498
37,20280341,1,ok,3.660194,2.738565,2.690853,1.293541,5.174166,0.8586513,0.3797504,0.99999945455,1.9392218182e-07,3.660194
38,20280342,1,ok,3.659865,2.73738,2.685707,1.293952,5.175808,0.8496777,0.3826258,0.99999945455,1.9436490909e-07,3.659865
39,20280343,1,ok,3.659725,2.736711,2.688245,1.290775,5.163102,0.8521947,0.377912,0.99999945455,1.9386672727e-07,3.659725
40,20280344,1,ok,3.660219,2.736163,2.687096,1.29305,5.1722,0.8542094,0.3805615,0.99999945455,1.9387527273e-07,3.660219
41,20280345,1,ok,3.660273,2.734583,2.684382,1.292952,5.171809,0.8538618,0.3794671,0.99999945455,1.9419254545e-07,3.660273
42,20280346,1,ok,3.660169,2.744245,2.688437,1.293867,5.175468,0.8562236,0.3798989,0.99999945455,1.9443272727e-07,3.660169
43,20280347,1,ok,3.659578,2.736762,2.685765,1.292786,5.171144,0.8581573,0.3793795,0.99999945455,1.9383709091e-07,3.659578
