sample,seed,sw_stat_mismatch,status,vgate_thinox_max,vna_peak,vnb_peak,vccomp_dev_max,vccomp_stack_max,t_plh_ns,t_phl_ns,vout_hi_ratio,vout_lo_ratio,vinb_max_v
12,20310316,1,ok,3.655021,2.776581,2.770367,1.276874,5.107494,0.6994039,0.3064375,0.99999927273,1.75942e-07,3.655021
13,20310317,1,ok,3.655228,2.782484,2.768172,1.277102,5.10841,0.7073795,0.3043575,0.99999927273,1.7618067273e-07,3.655228
14,20310318,1,ok,3.65509,2.783017,2.763835,1.276884,5.107535,0.7030186,0.305482,0.99999927273,1.7634472727e-07,3.65509
15,20310319,1,ok,3.654767,2.782195,2.76876,1.277131,5.108524,0.7013242,0.3068745,0.99999927273,1.7613290909e-07,3.654767
16,20310320,1,ok,3.654668,2.780656,2.763707,1.276439,5.105754,0.7065561,0.3055701,0.99999927273,1.7545694545e-07,3.654668
17,20310321,1,ok,3.654863,2.780538,2.759337,1.27729,5.10916,0.7040686,0.3064452,0.99999927273,1.7631654545e-07,3.654863
18,20310322,1,ok,3.65489,2.775396,2.765617,1.276386,5.105546,0.7049126,0.3050195,0.99999927273,1.7579012727e-07,3.65489
19,20310323,1,ok,3.654705,2.78359,2.767311,1.276918,5.107673,0.7035054,0.307572,0.99999927273,1.761662e-07,3.654705
20,20310324,1,ok,3.654829,2.779863,2.761973,1.276434,5.105737,0.7009132,0.3057509,0.99999927273,1.7616421818e-07,3.654829
21,20310325,1,ok,3.655036,2.78152,2.760041,1.276929,5.107715,0.7034117,0.3062498,0.99999927273,1.7661049091e-07,3.655036
22,20310326,1,ok,3.65503,2.779473,2.767097,1.277821,5.111286,0.7069481,0.3072225,0.99999927273,1.7621432727e-07,3.65503
23,20310327,1,ok,3.654834,2.786593,2.762139,1.277402,5.109609,0.7022865,0.3067727,0.99999927273,1.7636581818e-07,3.654834
24,20310328,1,ok,3.654853,2.791991,2.763604,1.277192,5.108768,0.7057672,0.3060311,0.99999927273,1.7594074545e-07,3.654853
25,20310329,1,ok,3.654728,2.777157,2.764655,1.277373,5.109494,0.705134,0.3061261,0.99999927273,1.7581069091e-07,3.654728
26,20310330,1,ok,3.654932,2.775133,2.767119,1.277009,5.108035,0.7064617,0.3054247,0.99999927273,1.760834e-07,3.654932
27,20310331,1,ok,3.654854,2.777829,2.773083,1.278538,5.114153,0.7054889,0.3066672,0.99999927273,1.7659727273e-07,3.654854
28,20310332,1,ok,3.654932,2.777929,2.767173,1.276737,5.106947,0.7063394,0.3049974,0.99999927273,1.7575634545e-07,3.654932
29,20310333,1,ok,3.654862,2.78694,2.761877,1.27673,5.106921,0.7008961,0.3068833,0.99999927273,1.7546534545e-07,3.654862
30,20310334,1,ok,3.654893,2.782564,2.767623,1.275822,5.10329,0.706743,0.3058598,0.99999927273,1.7540476364e-07,3.654893
31,20310335,1,ok,3.654931,2.780235,2.762481,1.276659,5.106636,0.7026066,0.3045543,0.99999927273,1.7647809091e-07,3.654931
32,20310336,1,ok,3.654878,2.786664,2.761772,1.277227,5.108908,0.6996991,0.3065847,0.99999927273,1.7601447273e-07,3.654878
33,20310337,1,ok,3.654779,2.786313,2.763603,1.276949,5.107797,0.703468,0.3058706,0.99999927273,1.7593509091e-07,3.654779
34,20310338,1,ok,3.654849,2.7789,2.766341,1.276267,5.105069,0.7070866,0.3041345,0.99999927273,1.7582381818e-07,3.654849
35,20310339,1,ok,3.654621,2.782143,2.765816,1.276564,5.106255,0.7069195,0.3055417,0.99999927273,1.7639003636e-07,3.654621
36,20310340,1,ok,3.654945,2.777523,2.7674,1.276429,5.105717,0.7033301,0.3067858,0.99999927273,1.7613734545e-07,3.654945
37,20310341,1,ok,3.654689,2.780316,2.766957,1.27713,5.108519,0.7041636,0.3055696,0.99999927273,1.7635496364e-07,3.654689
38,20310342,1,ok,3.654892,2.781817,2.771559,1.276863,5.107453,0.7049269,0.3056871,0.99999927273,1.7578205455e-07,3.654892
39,20310343,1,ok,3.654947,2.787883,2.760704,1.276742,5.106969,0.7030223,0.3052426,0.99999927273,1.7571376364e-07,3.654947
40,20310344,1,ok,3.654599,2.78681,2.760952,1.276996,5.107985,0.7030903,0.3068725,0.99999927273,1.7584250909e-07,3.654599
41,20310345,1,ok,3.655059,2.782512,2.76483,1.275676,5.102704,0.7048891,0.3052707,0.99999927273,1.7599269091e-07,3.655059
42,20310346,1,ok,3.655209,2.781034,2.764795,1.276781,5.107123,0.7055599,0.3049949,0.99999927273,1.7561056364e-07,3.655209
43,20310347,1,ok,3.654865,2.78057,2.769678,1.277374,5.109495,0.7062933,0.3049706,0.99999927273,1.7594072727e-07,3.654865
44,20310348,1,ok,3.654885,2.779443,2.762652,1.276471,5.105886,0.7057957,0.3050022,0.99999927273,1.7552227273e-07,3.654885
45,20310349,1,ok,3.655299,2.788241,2.75849,1.277279,5.109116,0.7023266,0.3052482,0.99999927273,1.7651265455e-07,3.655299
46,20310350,1,ok,3.654924,2.784051,2.764139,1.277706,5.110822,0.7028365,0.308343,0.99999927273,1.7607901818e-07,3.654924
47,20310351,1,ok,3.654976,2.779257,2.762142,1.276303,5.105213,0.7021604,0.3062859,0.99999927273,1.7572790909e-07,3.654976
48,20310352,1,ok,3.655078,2.783073,2.76674,1.277369,5.109476,0.7006957,0.3059867,0.99999927273,1.7651492727e-07,3.655078
49,20310353,1,ok,3.655061,2.78154,2.766399,1.277019,5.108077,0.7044974,0.3055484,0.99999927273,1.7572516364e-07,3.655061
50,20310354,1,ok,3.654729,2.788074,2.770533,1.277481,5.109926,0.7035051,0.3060643,0.99999927273,1.7627905455e-07,3.654729
51,20310355,1,ok,3.654887,2.78117,2.76364,1.276375,5.105501,0.7054799,0.3052131,0.99999927273,1.757168e-07,3.654887
52,20310356,1,ok,3.655152,2.782622,2.769378,1.276935,5.107739,0.7027637,0.3051885,0.99999927273,1.7596190909e-07,3.655152
53,20310357,1,ok,3.655148,2.782762,2.759708,1.277201,5.108805,0.7033088,0.3061727,0.99999927273,1.7659318182e-07,3.655148
54,20310358,1,ok,3.655238,2.786587,2.760277,1.276492,5.105968,0.7018502,0.3057708,0.99999927273,1.7567663636e-07,3.655238
55,20310359,1,ok,3.655076,2.783818,2.766337,1.277725,5.110898,0.705741,0.3053917,0.99999927273,1.76231e-07,3.655076
56,20310360,1,ok,3.654963,2.784699,2.772235,1.277544,5.110177,0.7059495,0.3059686,0.99999927273,1.7575216364e-07,3.654963
57,20310361,1,ok,3.655296,2.779433,2.756201,1.276897,5.107588,0.705731,0.3052201,0.99999927273,1.756394e-07,3.655296
58,20310362,1,ok,3.655193,2.782908,2.758995,1.277127,5.108506,0.7033263,0.3061154,0.99999927273,1.758188e-07,3.655193
59,20310363,1,ok,3.654915,2.786667,2.758761,1.276237,5.104949,0.7031936,0.3058423,0.99999927273,1.7563123636e-07,3.654915
60,20310364,1,ok,3.654841,2.781485,2.765039,1.277599,5.110397,0.7077957,0.3060488,0.99999927273,1.7557189091e-07,3.654841
61,20310365,1,ok,3.654936,2.789251,2.768053,1.276415,5.105659,0.7047009,0.3059916,0.99999927273,1.7621410909e-07,3.654936
62,20310366,1,ok,3.654775,2.781233,2.77083,1.277112,5.108448,0.7056177,0.3070578,0.99999927273,1.7591603636e-07,3.654775
63,20310367,1,ok,3.654928,2.777906,2.760656,1.276464,5.105858,0.7020077,0.3061634,0.99999927273,1.7578270909e-07,3.654928
64,20310368,1,ok,3.655075,2.78116,2.767315,1.276759,5.107036,0.7070387,0.3047237,0.99999927273,1.7618221818e-07,3.655075
65,20310369,1,ok,3.654889,2.782218,2.767807,1.275311,5.101245,0.703962,0.3055112,0.99999927273,1.7563561818e-07,3.654889
66,20310370,1,ok,3.655061,2.787967,2.767515,1.276594,5.106374,0.7022858,0.3057439,0.99999927273,1.7563367273e-07,3.655061
67,20310371,1,ok,3.654818,2.785999,2.763981,1.276678,5.106713,0.7044157,0.3052229,0.99999927273,1.7544863636e-07,3.654818
68,20310372,1,ok,3.654978,2.785602,2.761049,1.277191,5.108763,0.7062667,0.3059071,0.99999927273,1.7616198182e-07,3.654978
69,20310373,1,ok,3.654955,2.787192,2.762931,1.277338,5.109351,0.7026117,0.3060818,0.99999927273,1.7620572727e-07,3.654955
70,20310374,1,ok,3.655057,2.784888,2.763172,1.277198,5.108792,0.7090874,0.3050618,0.99999927273,1.7605961818e-07,3.655057
71,20310375,1,ok,3.655238,2.783977,2.770211,1.277022,5.108086,0.7036112,0.3057961,0.99999927273,1.761672e-07,3.655238
72,20310376,1,ok,3.655113,2.789385,2.758957,1.277345,5.109379,0.702368,0.3064853,0.99999927273,1.7585178182e-07,3.655113
73,20310377,1,ok,3.655202,2.781728,2.76395,1.276451,5.105802,0.7079036,0.3046859,0.99999927273,1.7551807273e-07,3.655202
74,20310378,1,ok,3.655043,2.78437,2.763869,1.276671,5.106686,0.7046217,0.3053827,0.99999927273,1.756214e-07,3.655043
75,20310379,1,ok,3.655026,2.787767,2.769144,1.277471,5.109882,0.7095199,0.3042083,0.99999927273,1.7668841818e-07,3.655026
76,20310380,1,ok,3.654869,2.787783,2.761743,1.277119,5.108474,0.7042916,0.3059238,0.99999927273,1.7572234545e-07,3.654869
77,20310381,1,ok,3.655102,2.782564,2.759083,1.277343,5.109371,0.7056179,0.3067243,0.99999927273,1.7583529091e-07,3.655102
78,20310382,1,ok,3.65492,2.789263,2.761174,1.277645,5.110581,0.7023963,0.3069424,0.99999927273,1.7658281818e-07,3.65492
79,20310383,1,ok,3.654971,2.780441,2.765666,1.27648,5.105919,0.7037623,0.3061173,0.99999927273,1.7565474545e-07,3.654971
80,20310384,1,ok,3.655187,2.781961,2.764648,1.277037,5.10815,0.7036742,0.3045023,0.99999927273,1.7600481818e-07,3.655187
81,20310385,1,ok,3.654976,2.784083,2.768575,1.27692,5.10768,0.701869,0.3069495,0.99999927273,1.7640294545e-07,3.654976
82,20310386,1,ok,3.655133,2.779363,2.767615,1.277211,5.108843,0.707007,0.3046516,0.99999927273,1.755756e-07,3.655133
