sample,seed,sw_stat_mismatch,status,vgate_thinox_max,vna_peak,vnb_peak,vccomp_dev_max,vccomp_stack_max,t_plh_ns,t_phl_ns,vout_hi_ratio,vout_lo_ratio,vinb_max_v
baseline,,unset (plain harness deck),ok,3.655259,2.647553,2.629858,1.329815,5.31926,0.6378363,0.2989703,0.99999963636,9.8101890909e-08,3.655259
0,20350304,0,ok,3.655259,2.647553,2.629858,1.329815,5.31926,0.6378363,0.2989703,0.99999963636,9.8101890909e-08,3.655259
0,25350304,0,ok,3.655259,2.647553,2.629858,1.329815,5.31926,0.6378363,0.2989703,0.99999963636,9.8101890909e-08,3.655259
1,20350305,1,ok,3.654941,2.642215,2.628024,1.329735,5.31894,0.6369485,0.2981687,0.99999963636,9.8296072727e-08,3.654941
2,20350306,1,ok,3.655341,2.644434,2.628696,1.329175,5.316701,0.6360289,0.2994791,0.99999963636,9.8108363636e-08,3.655341
3,20350307,1,ok,3.655278,2.641836,2.632155,1.329661,5.318643,0.6394527,0.2985379,0.99999963636,9.8219363636e-08,3.655278
4,20350308,1,ok,3.655162,2.650705,2.627797,1.329228,5.316912,0.6339045,0.2979149,0.99999963636,9.8250363636e-08,3.655162
5,20350309,1,ok,3.655224,2.650846,2.629245,1.329032,5.316129,0.635908,0.2990741,0.99999963636,9.7861127273e-08,3.655224
6,20350310,1,ok,3.655245,2.645327,2.632158,1.329389,5.317555,0.6375444,0.2992969,0.99999963636,9.8085e-08,3.655245
7,20350311,1,ok,3.655339,2.648914,2.631957,1.329085,5.31634,0.6360041,0.2985459,0.99999963636,9.7981654545e-08,3.655339
8,20350312,1,ok,3.655324,2.647943,2.634307,1.32939,5.317559,0.638607,0.2998427,0.99999963636,9.7966145455e-08,3.655324
9,20350313,1,ok,3.655197,2.648147,2.633595,1.328881,5.315522,0.6338506,0.3003785,0.99999963636,9.8018290909e-08,3.655197
10,20350314,1,ok,3.655216,2.650223,2.632977,1.32955,5.318201,0.6404534,0.2991681,0.99999963636,9.8169763636e-08,3.655216
11,20350315,1,ok,3.655242,2.649263,2.632195,1.329324,5.317298,0.6365843,0.2988464,0.99999963636,9.8030454545e-08,3.655242
12,20350316,1,ok,3.655189,2.647308,2.631717,1.329308,5.31723,0.6374802,0.2986884,0.99999963636,9.7942836364e-08,3.655189
13,20350317,1,ok,3.655265,2.646867,2.630057,1.328383,5.313531,0.6346984,0.2991292,0.99999963636,9.8006309091e-08,3.655265
14,20350318,1,ok,3.655175,2.643999,2.631509,1.32924,5.316961,0.6390916,0.2991996,0.99999963636,9.8137018182e-08,3.655175
15,20350319,1,ok,3.655245,2.645598,2.632338,1.327749,5.310994,0.6371345,0.2988399,0.99999963636,9.7866527273e-08,3.655245
16,20350320,1,ok,3.655305,2.644785,2.630005,1.329736,5.318943,0.6380648,0.2983108,0.99999963636,9.8193018182e-08,3.655305
17,20350321,1,ok,3.65528,2.643701,2.629212,1.329317,5.317267,0.6395074,0.2993879,0.99999963636,9.8096127273e-08,3.65528
18,20350322,1,ok,3.655266,2.651062,2.633352,1.329292,5.317167,0.6405562,0.2976825,0.99999963636,9.8202963636e-08,3.655266
19,20350323,1,ok,3.65508,2.650265,2.632076,1.329821,5.319285,0.6355357,0.3004365,0.99999963636,9.8180654545e-08,3.65508
20,20350324,1,ok,3.655187,2.647575,2.631592,1.329289,5.317157,0.6378943,0.2977668,0.99999963636,9.8083381818e-08,3.655187
21,20350325,1,ok,3.655508,2.645589,2.628914,1.329237,5.316947,0.635435,0.2999753,0.99999963636,9.8196145455e-08,3.655508
22,20350326,1,ok,3.655165,2.639039,2.636503,1.329157,5.316629,0.6347475,0.2997322,0.99999963636,9.7862454545e-08,3.655165
23,20350327,1,ok,3.655119,2.653423,2.631962,1.328821,5.315283,0.6376738,0.2978424,0.99999963636,9.8087618182e-08,3.655119
24,20350328,1,ok,3.655335,2.649147,2.626167,1.329242,5.316969,0.6395343,0.2995117,0.99999963636,9.8183090909e-08,3.655335
25,20350329,1,ok,3.655292,2.648729,2.631294,1.329699,5.318798,0.6389292,0.300584,0.99999963636,9.8320854545e-08,3.655292
26,20350330,1,ok,3.655251,2.648502,2.628931,1.329135,5.316542,0.6405632,0.2977782,0.99999963636,9.8080872727e-08,3.655251
