sample,seed,sw_stat_mismatch,status,vgate_thinox_max,vna_peak,vnb_peak,vccomp_dev_max,vccomp_stack_max,t_plh_ns,t_phl_ns,vout_hi_ratio,vout_lo_ratio,vinb_max_v
baseline,,unset (plain harness deck),ok,3.659435,2.666689,2.611584,1.276744,5.106977,0.8354917,0.377493,0.99999945455,2.1619072727e-07,3.659435
0,20400304,0,ok,3.659435,2.666689,2.611584,1.276744,5.106977,0.8354917,0.377493,0.99999945455,2.1619072727e-07,3.659435
0,25400304,0,ok,3.659435,2.666689,2.611584,1.276744,5.106977,0.8354917,0.377493,0.99999945455,2.1619072727e-07,3.659435
1,20400305,1,ok,3.659577,2.66768,2.60993,1.276893,5.107573,0.8325435,0.3792402,0.99999945455,2.1601581818e-07,3.659577
2,20400306,1,ok,3.659438,2.661962,2.60727,1.277535,5.11014,0.8346592,0.3775398,0.99999945455,2.1608345455e-07,3.659438
3,20400307,1,ok,3.659334,2.667961,2.612392,1.276762,5.107049,0.8344113,0.377033,0.99999945455,2.1590018182e-07,3.659334
4,20400308,1,ok,3.659434,2.665699,2.613409,1.278547,5.114187,0.8367556,0.3789458,0.99999945455,2.1621472727e-07,3.659434
5,20400309,1,ok,3.659338,2.663526,2.611091,1.277835,5.111338,0.8376176,0.3766542,0.99999945455,2.1652745455e-07,3.659338
6,20400310,1,ok,3.659573,2.669463,2.612504,1.276699,5.106795,0.8392142,0.3776306,0.99999945455,2.1566272727e-07,3.659573
7,20400311,1,ok,3.659464,2.666543,2.61125,1.276569,5.106277,0.8365451,0.3776145,0.99999945455,2.1592872727e-07,3.659464
8,20400312,1,ok,3.659349,2.663897,2.615078,1.276476,5.105903,0.8338846,0.377216,0.99999945455,2.1618272727e-07,3.659349
9,20400313,1,ok,3.659473,2.669174,2.613812,1.278083,5.112331,0.8349144,0.3776454,0.99999945455,2.1643490909e-07,3.659473
10,20400314,1,ok,3.659457,2.665022,2.611019,1.276813,5.107252,0.8352489,0.3775853,0.99999945455,2.1646563636e-07,3.659457
11,20400315,1,ok,3.659537,2.671547,2.616261,1.275847,5.103387,0.83258,0.3779837,0.99999945455,2.1603890909e-07,3.659537
12,20400316,1,ok,3.659353,2.664866,2.609087,1.275953,5.103811,0.8332497,0.37695,0.99999945455,2.1638472727e-07,3.659353
13,20400317,1,ok,3.659399,2.668035,2.611955,1.276522,5.106089,0.8338843,0.378001,0.99999945455,2.1633127273e-07,3.659399
14,20400318,1,ok,3.659565,2.667553,2.605063,1.274868,5.099473,0.8354889,0.3777147,0.99999945455,2.1592945455e-07,3.659565
15,20400319,1,ok,3.659347,2.665213,2.609892,1.277106,5.108423,0.8369826,0.3768349,0.99999945455,2.1617363636e-07,3.659347
16,20400320,1,ok,3.659547,2.672802,2.6068,1.276625,5.1065,0.8366525,0.3768894,0.99999945455,2.1575672727e-07,3.659547
17,20400321,1,ok,3.659572,2.664196,2.606144,1.277575,5.1103,0.8380783,0.378256,0.99999945455,2.1595945455e-07,3.659572
18,20400322,1,ok,3.659367,2.667736,2.608633,1.276701,5.106806,0.8355999,0.3778238,0.99999945455,2.1609781818e-07,3.659367
19,20400323,1,ok,3.659405,2.671317,2.610241,1.277092,5.108367,0.8384668,0.3772651,0.99999945455,2.1629036364e-07,3.659405
20,20400324,1,ok,3.659528,2.669951,2.603952,1.276615,5.106459,0.8376062,0.3787123,0.99999945455,2.1682363636e-07,3.659528
21,20400325,1,ok,3.659449,2.674009,2.613413,1.277476,5.109906,0.8373409,0.3777113,0.99999945455,2.1616963636e-07,3.659449
22,20400326,1,ok,3.659406,2.665713,2.610101,1.277035,5.10814,0.8372782,0.3775891,0.99999945455,2.1622327273e-07,3.659406
23,20400327,1,ok,3.659464,2.666898,2.614473,1.277399,5.109596,0.8391451,0.3781773,0.99999945455,2.1653563636e-07,3.659464
24,20400328,1,ok,3.659548,2.664266,2.613288,1.277254,5.109018,0.8382708,0.3771105,0.99999945455,2.1587272727e-07,3.659548
25,20400329,1,ok,3.659349,2.666047,2.612317,1.27586,5.10344,0.8347592,0.3782226,0.99999945455,2.1601290909e-07,3.659349
