sample,seed,sw_stat_mismatch,status,vgate_thinox_max,vna_peak,vnb_peak,vccomp_dev_max,vccomp_stack_max,t_plh_ns,t_phl_ns,vout_hi_ratio,vout_lo_ratio,vinb_max_v
baseline,,unset (plain harness deck),ok,3.657763,2.719491,2.684909,1.318572,5.27429,0.7440455,0.338496,0.99999945455,1.2875676364e-07,3.657763
0,20360304,0,ok,3.657763,2.719491,2.684909,1.318572,5.27429,0.7440455,0.338496,0.99999945455,1.2875676364e-07,3.657763
0,25360304,0,ok,3.657763,2.719491,2.684909,1.318572,5.27429,0.7440455,0.338496,0.99999945455,1.2875676364e-07,3.657763
1,20360305,1,ok,3.65779,2.720666,2.685489,1.318324,5.273295,0.7440306,0.337914,0.99999945455,1.2863452727e-07,3.65779
2,20360306,1,ok,3.657799,2.718163,2.689706,1.318852,5.275408,0.7452895,0.3386077,0.99999945455,1.2887338182e-07,3.657799
3,20360307,1,ok,3.657764,2.717709,2.682688,1.318575,5.274301,0.7417596,0.3387725,0.99999945455,1.289438e-07,3.657764
4,20360308,1,ok,3.657598,2.722321,2.677393,1.318151,5.272603,0.7436601,0.3381839,0.99999945455,1.2869783636e-07,3.657598
5,20360309,1,ok,3.657649,2.719968,2.683987,1.318739,5.274954,0.7438241,0.3394511,0.99999945455,1.2868487273e-07,3.657649
6,20360310,1,ok,3.657905,2.716217,2.691525,1.318045,5.272182,0.7496153,0.3364482,0.99999945455,1.2868801818e-07,3.657905
7,20360311,1,ok,3.657616,2.719244,2.68055,1.318432,5.273729,0.7439932,0.3382181,0.99999945455,1.2860965455e-07,3.657616
8,20360312,1,ok,3.657574,2.720844,2.681296,1.319365,5.277459,0.7475816,0.3391735,0.99999945455,1.2890692727e-07,3.657574
9,20360313,1,ok,3.657805,2.724579,2.68644,1.318961,5.275845,0.74801,0.3393434,0.99999945455,1.2893972727e-07,3.657805
10,20360314,1,ok,3.657651,2.718978,2.684776,1.31897,5.275881,0.7450517,0.3386848,0.99999945455,1.2899521818e-07,3.657651
