sample,seed,sw_stat_mismatch,status,vgate_thinox_max,vna_peak,vnb_peak,vccomp_dev_max,vccomp_stack_max,t_plh_ns,t_phl_ns,vout_hi_ratio,vout_lo_ratio,vinb_max_v
baseline,,unset (plain harness deck),ok,3.652436,2.495108,2.478642,1.314098,5.256394,0.6185511,0.2811062,0.99999963636,1.1440454545e-07,3.652436
0,20380304,0,ok,3.652436,2.495108,2.478642,1.314098,5.256394,0.6185511,0.2811062,0.99999963636,1.1440454545e-07,3.652436
0,25380304,0,ok,3.652436,2.495108,2.478642,1.314098,5.256394,0.6185511,0.2811062,0.99999963636,1.1440454545e-07,3.652436
1,20380305,1,ok,3.652533,2.499572,2.473229,1.313693,5.254774,0.6171139,0.2807036,0.99999963636,1.1447992727e-07,3.652533
2,20380306,1,ok,3.652365,2.496986,2.474474,1.313798,5.255193,0.6180975,0.2807776,0.99999963636,1.1446421818e-07,3.652365
3,20380307,1,ok,3.652564,2.490612,2.484304,1.313805,5.25522,0.6205757,0.2797482,0.99999963636,1.1431683636e-07,3.652564
4,20380308,1,ok,3.65255,2.499499,2.483238,1.313736,5.254944,0.6178246,0.2808695,0.99999963636,1.1420738182e-07,3.65255
5,20380309,1,ok,3.652322,2.493567,2.481167,1.314267,5.257069,0.6148821,0.2812288,0.99999963636,1.1456549091e-07,3.652322
6,20380310,1,ok,3.652397,2.495684,2.483197,1.313665,5.254658,0.6205672,0.2799143,0.99999963636,1.1437125455e-07,3.652397
7,20380311,1,ok,3.652511,2.493907,2.480454,1.313591,5.254365,0.6186602,0.2820207,0.99999963636,1.1427063636e-07,3.652511
8,20380312,1,ok,3.652449,2.496152,2.484539,1.31456,5.258241,0.6199185,0.2817079,0.99999963636,1.1443154545e-07,3.652449
9,20380313,1,ok,3.652473,2.491814,2.480178,1.313559,5.254235,0.6165722,0.2811667,0.99999963636,1.1438612727e-07,3.652473
10,20380314,1,ok,3.652459,2.493526,2.481194,1.312947,5.25179,0.6173211,0.2804536,0.99999963636,1.1427427273e-07,3.652459
11,20380315,1,ok,3.652425,2.499268,2.481437,1.313722,5.254889,0.619633,0.2803432,0.99999963636,1.1427490909e-07,3.652425
12,20380316,1,ok,3.652368,2.494866,2.477563,1.314231,5.256924,0.6209332,0.2801144,0.99999963636,1.1431503636e-07,3.652368
13,20380317,1,ok,3.652261,2.496013,2.473183,1.314184,5.256735,0.6211964,0.2799619,0.99999963636,1.1447145455e-07,3.652261
14,20380318,1,ok,3.652416,2.488563,2.472908,1.312792,5.251167,0.6179636,0.2799129,0.99999963636,1.1439207273e-07,3.652416
15,20380319,1,ok,3.652435,2.49747,2.479379,1.314102,5.256407,0.6188459,0.2810204,0.99999963636,1.1436303636e-07,3.652435
16,20380320,1,ok,3.652402,2.498038,2.478956,1.313812,5.255249,0.6190958,0.2806943,0.99999963636,1.1432314545e-07,3.652402
17,20380321,1,ok,3.65241,2.495976,2.482991,1.314102,5.25641,0.6178769,0.2811967,0.99999963636,1.1415656364e-07,3.65241
18,20380322,1,ok,3.65251,2.489989,2.480032,1.314136,5.256542,0.6160399,0.2817534,0.99999963636,1.1437463636e-07,3.65251
19,20380323,1,ok,3.652491,2.497753,2.47899,1.314865,5.259462,0.6215642,0.2810084,0.99999963636,1.1453214545e-07,3.652491
20,20380324,1,ok,3.652534,2.501331,2.479975,1.31425,5.257001,0.6188778,0.2814045,0.99999963636,1.1447612727e-07,3.652534
21,20380325,1,ok,3.652362,2.493558,2.479381,1.313975,5.255902,0.6184886,0.2798746,0.99999963636,1.1434845455e-07,3.652362
22,20380326,1,ok,3.652284,2.491339,2.472536,1.314245,5.256982,0.6207266,0.2804749,0.99999963636,1.1437e-07,3.652284
23,20380327,1,ok,3.652461,2.495876,2.478189,1.314161,5.256643,0.6216246,0.2800804,0.99999963636,1.1430027273e-07,3.652461
24,20380328,1,ok,3.652471,2.491852,2.480825,1.314234,5.256935,0.6179499,0.2812238,0.99999963636,1.1442883636e-07,3.652471
25,20380329,1,ok,3.652419,2.495607,2.47894,1.314032,5.256128,0.6175418,0.2810973,0.99999963636,1.1442972727e-07,3.652419
26,20380330,1,ok,3.652429,2.496018,2.479272,1.313961,5.255845,0.6179654,0.28119,0.99999963636,1.1446383636e-07,3.652429
27,20380331,1,ok,3.652444,2.492071,2.475968,1.313998,5.255992,0.6174867,0.2815056,0.99999963636,1.1463618182e-07,3.652444
28,20380332,1,ok,3.652382,2.496796,2.481549,1.315034,5.260137,0.620723,0.2808816,0.99999963636,1.1471709091e-07,3.652382
